date,city,build_up_index,drought_code,fine_fuel_moisture_code,fire_weather_index,initial_fire_spread_index
1990-01-01,Seville,1.5926,10.8758,39.9338,0.0161,0.0544
1990-01-02,Seville,1.3660,12.2547,50.1127,0.0747,0.2606
1990-01-03,Seville,0.3330,1.5830,22.9984,0.0000,0.0000
1990-01-04,Seville,0.5733,1.9062,35.0300,0.0051,0.0217
1990-01-05,Seville,1.2500,3.9062,57.8471,0.1486,0.5362
1990-01-06,Seville,1.7939,6.2001,68.8136,0.2442,0.8070
1990-01-07,Seville,2.5000,8.4502,74.5905,0.2857,0.8607
1990-01-08,Seville,3.2500,10.4501,81.8842,2.0753,3.7211
1990-01-09,Seville,4.1172,12.4941,83.9308,2.4507,3.8220
1990-01-10,Seville,4.8233,14.4940,84.5279,2.4192,3.5325
1990-01-11,Seville,5.5000,16.2440,84.6241,2.9929,3.9154
1990-01-12,Seville,6.0733,18.2440,84.6573,2.0928,2.8928
1990-01-13,Seville,6.8233,20.4941,84.6744,2.6585,3.2355
1990-01-14,Seville,7.7295,22.8173,84.7213,2.8548,3.2221
1990-01-15,Seville,8.5234,25.0673,84.8161,3.6976,3.7846
1990-01-16,Seville,9.4062,27.3612,84.9022,4.6678,4.4668
1990-01-17,Seville,10.0733,29.5613,84.8952,3.8019,3.5554
1990-01-18,Seville,10.7199,31.5614,84.6490,2.6346,2.5492
1990-01-19,Seville,11.5528,33.5614,84.9866,4.5790,3.9191
1990-01-20,Seville,12.3028,35.6052,85.0341,4.3548,3.6075
1990-01-21,Seville,12.9699,37.6492,85.0815,4.0741,3.2824
1990-01-22,Seville,13.7199,39.6491,85.1899,3.7978,2.9786
1990-01-23,Seville,14.5138,41.6491,85.2374,3.8974,2.9543
1990-01-24,Seville,15.2199,43.7225,84.1243,2.6332,2.0875
1990-01-25,Seville,15.8869,46.1286,84.0737,3.3538,2.4572
1990-01-26,Seville,16.6700,48.5788,84.1206,5.3424,3.6797
1990-01-27,Seville,14.8077,49.1968,67.9118,2.7911,2.2208
1990-01-28,Seville,7.5886,29.1539,35.2572,0.0132,0.0253
1990-01-29,Seville,8.3385,30.9037,59.4268,0.3596,0.6589
1990-01-30,Seville,8.5885,32.8539,59.5556,0.2383,0.4336
1990-01-31,Seville,9.4215,35.3041,74.8762,2.8737,2.9388
1990-02-01,Seville,6.9881,33.9796,52.8283,0.1535,0.3063
1990-02-02,Seville,7.7820,36.3564,65.6722,0.3181,0.5978
1990-02-03,Seville,8.6882,38.8565,73.2625,0.4582,0.8201
1990-02-04,Seville,9.6785,41.6063,80.0252,1.3820,1.8497
1990-02-05,Seville,10.6726,44.4003,82.6191,2.5347,2.4919
1990-02-06,Seville,11.5494,47.2271,82.7983,3.8283,3.3380
