year,t2m_mean,d2m_mean,rh_mean,heat_index_mean,dpd_mean,wind_mean,t2m_p95,t2m_p05,tmax_mean,tmin_mean,precip_scaled,days tmax≥30°C,days tmax≥33°C,days tmax≥35°C,days tmax≥37°C,days tmax≥40°C,tropical nights tmin≥20°C,days heat index≥35°C,heatwaves,heatwave days,longest (days),wet days,mean intensity (mm/wet day),max 1-day (mm),P95 wet-day (mm),longest dry spell (days)
1990,15.463493981164406,7.308599465753447,62.659143302988724,14.618449243792607,8.154894515410959,1.546398031772425,30.61926337500002,1.100548875000026,21.201482849315088,11.222079041095913,409.22856294585,73,29,9,1,0,50,5,5,17,4,64,6.045117967506094,44.885873244,17.477381115037495,27
1991,13.987896020547968,8.034900979452077,70.27910427818767,13.261728875173583,5.952995041095891,1.5051680875760831,28.743323125000032,-0.6041618749999681,18.848755232876734,10.392865575342489,625.84841266758,45,9,1,0,0,40,0,2,8,5,99,6.044619012584545,62.6406671865,22.268915105531995,26
1992,14.210685375683083,7.21942654371587,66.07611522879698,13.377775016282936,6.991258831967213,1.5767004210201152,28.84760675000002,-0.6171342499999815,19.85907060792352,10.089955314207673,443.85981600765,53,10,2,0,0,35,0,1,3,3,63,6.65161723919,57.71327025315,19.037246750024998,63
1993,14.795286897260297,7.3595114263698855,64.97102867718968,13.957233704789385,7.435775470890411,1.6029866557550836,30.405593625000026,0.4340405000000253,20.309714678082216,10.699710547945228,565.16539965627,74,26,13,2,0,47,7,2,10,7,79,6.855386710033671,45.384407100000004,21.419119833599964,39
1994,15.825624397260295,8.741933094178105,66.83208622424044,15.133704445705385,7.083691303082192,1.5561612309952624,31.188813250000035,2.150422125000028,21.070438609589065,11.819668150684956,726.25207864425,93,33,13,3,1,62,8,4,17,5,82,8.60006925132622,65.09399388,18.425881794580498,40
1995,15.063377553082214,8.067784303082215,66.61526639395491,14.314053972362828,6.995593249999999,1.6041907403186184,29.91101537500001,2.235628375000028,20.2098731712329,11.137363102739748,675.51040715667,67,15,4,0,0,58,0,1,5,5,84,7.688811855196786,42.03343389,24.479198545904996,39
1996,14.833705696721335,8.417087651980896,69.37133715827237,14.134574976827281,6.416618044740437,1.553512826984033,29.874268250000025,2.7224000000000297,19.41836060792352,11.348382834699477,572.06976436104,60,24,8,2,0,47,6,1,3,3,113,4.773040790643717,17.046690105,12.655878119399997,28
1997,14.69778314212331,7.6754803647260506,66.72338017158621,13.909697345174031,7.02230277739726,1.6018904136370675,30.06424950000002,1.731781750000036,19.734143869863036,10.81054032191783,632.94374942289,64,30,10,7,0,58,8,3,9,3,87,6.962874839568621,32.60278702995,23.376989170260003,34
1998,15.607773005137009,8.264070380137008,65.83179610953796,14.89454091002449,7.343702625,1.6273319849339305,31.20761025000001,1.5452647500000312,20.827339123287693,11.69402673972605,612.95127809682,76,37,18,6,2,72,18,3,12,5,75,7.824969283806399,70.4548353,24.52604770649995,69
1999,15.668006941780844,9.307935604452078,69.28716944422875,15.091900190973735,6.360071337328767,1.5289085956691988,30.308895625000012,1.8375160000000172,20.842916897260295,11.770454917808243,646.58868229818,72,29,12,4,0,66,15,3,10,4,84,7.2999511349282145,48.39491859,25.584697660274976,26
2000,14.98764510245904,7.896324135928984,66.59961910508575,14.214527304932751,7.091320966530055,1.500837992718476,30.537996750000012,0.3558252500000155,20.743549098360678,10.69262961748636,384.38951814702,67,31,15,8,1,39,13,3,14,6,65,5.4890760761847694,42.5119392225,15.108776056019993,33
2001,15.663751232876734,7.512823801369886,63.09225510886691,14.8394684434767,8.15092743150685,1.674473451140616,31.530224250000018,0.8911361250000271,21.46724204109591,11.4248576712329,477.92923462554,99,48,20,5,0,72,13,7,31,11,76,5.968677371936842,27.62603754,18.687128942625,37
2002,15.29907669863016,8.659275267123311,68.67273537628074,14.626518787364576,6.639801431506849,1.529407250332661,29.977005750000025,2.1354293750000073,20.682909684931527,11.248986897260297,743.20256740983,59,30,15,2,0,57,6,3,13,5,88,8.11655142365284,56.593179525,20.039033694374993,23
2003,15.074411852739749,8.883667886986323,70.10854039060597,14.447549019543708,6.190743965753424,1.465751375107085,30.452898125000008,0.8125672500000164,20.145208260273993,11.229844650684953,649.37245844085,73,35,12,3,0,67,16,4,15,5,94,6.530593050119043,37.10746755,18.49822998335998,29
2004,15.094726029713138,8.278705375683083,67.76821563904348,14.366413856007275,6.816020654030055,1.570030121672307,30.14224600000003,0.14994237500003474,20.441890806010953,11.04202823087434,523.95200805798,73,24,12,2,0,61,6,2,7,4,84,5.928865509727142,26.01099003,17.5450087305,29
2005,15.136452114726051,7.691341743150708,65.2812938281131,14.355140792632335,7.445110371575343,1.57192289186968,30.168937500000023,0.3694708750000218,20.569669732876736,11.055592315068516,498.63410010288,68,27,9,4,0,61,8,3,9,3,80,5.8492004891385,37.786961139,16.2469625057175,29
2006,14.900686750000023,8.12358957363016,68.07405274218618,14.170805900416823,6.777097176369862,1.5331350774612935,30.704863000000014,-0.5414266249999805,20.145793958904132,10.93797575342468,687.37792805298,73,35,13,2,0,61,12,3,12,5,85,7.712552106598587,56.021690115,26.017570367999998,56
2007,15.836259354452077,7.968034958904132,64.3482494919621,15.061262724338528,7.868224395547945,1.5604208486545847,31.94543562500002,2.1269656250000275,21.41687054794523,11.57435984931509,470.00455951392,84,46,30,13,7,67,21,6,36,10,77,5.731455703778572,33.28228008075,17.789411646042,30
2008,16.038705278347017,8.148655435450843,64.31557890380688,15.278388638098752,7.890049842896176,1.6359138080820668,31.899873375000013,1.9584363750000158,21.552676031420788,11.838565314207672,419.90232454113,93,50,22,8,0,78,12,6,21,5,75,5.2726840950368,23.27299122,14.976954481754994,32
