,start,length,peak,mean_tmax,year
0,1990-02-24,3,20.24245500000002,19.674361666666687,1990
1,1990-03-22,4,24.681972500000015,24.061791250000017,1990
2,1990-05-25,3,36.35634750000003,34.577375833333356,1990
3,1990-09-25,3,33.667382500000016,32.09375416666669,1990
4,1990-10-31,4,26.962245000000024,25.874880625000024,1990
5,1991-09-28,5,32.70656750000002,32.226416000000015,1991
6,1991-10-18,3,29.472192500000006,27.711378333333354,1991
7,1992-10-30,3,26.41030250000003,25.779179166666683,1992
8,1993-03-23,3,23.089805000000027,22.34384583333335,1993
9,1993-10-12,7,29.175012500000022,28.345929285714313,1993
10,1994-05-23,5,34.48019000000002,33.61952050000002,1994
11,1994-09-14,3,35.00716000000001,33.90228333333335,1994
12,1994-09-26,5,32.69979500000001,32.090661500000024,1994
13,1994-10-02,4,31.195952500000004,30.27839125000002,1994
14,1995-12-24,5,21.366052500000023,18.597233000000028,1995
15,1996-12-23,3,20.755852500000017,17.247308333333354,1996
16,1997-05-20,3,33.353540000000024,32.564681666666694,1997
17,1997-06-18,3,38.90993750000004,38.156377500000026,1997
18,1997-07-04,3,39.29476500000003,38.56028666666669,1997
19,1998-04-08,5,28.10018250000003,25.979247000000022,1998
20,1998-07-01,4,42.17251250000004,39.48378937500003,1998
21,1998-08-03,3,38.00710250000003,37.32267916666668,1998
22,1999-04-30,4,29.54098000000002,29.251778750000025,1999
23,1999-08-19,3,39.970607500000014,38.05377833333335,1999
24,1999-12-16,3,18.84255500000002,17.556480833333353,1999
25,2000-07-04,3,41.361170000000016,39.64608333333336,2000
26,2000-09-18,5,35.35452000000002,33.17719800000002,2000
27,2000-12-11,6,17.21840500000002,16.170718333333358,2000
28,2001-03-03,4,21.432087500000023,20.433723125000018,2001
29,2001-03-18,11,30.965970000000013,25.889951363636385,2001
30,2001-05-30,3,35.96102000000002,34.57202583333335,2001
31,2001-06-10,3,37.352192500000015,36.01552416666669,2001
32,2001-09-24,3,35.53224500000002,33.834780000000016,2001
33,2001-10-04,4,30.726225000000028,29.75501500000002,2001
34,2001-10-10,3,29.294522500000014,28.402654166666682,2001
35,2002-01-28,5,17.955987500000006,17.098633500000012,2002
36,2002-02-28,5,22.962122500000035,21.57221750000003,2002
37,2002-03-06,3,24.76156000000003,21.96356583333336,2002
38,2003-01-04,5,17.97530000000002,16.695934500000025,2003
39,2003-05-01,4,29.93767250000002,29.13470375000002,2003
40,2003-05-11,3,29.996912500000036,29.80162166666669,2003
41,2003-08-30,3,38.24661000000002,36.28670833333336,2003
42,2004-02-05,4,19.833640000000017,18.684389375000023,2004
43,2004-10-20,3,27.86056000000002,26.568589166666683,2004
44,2005-03-27,3,23.946137500000034,23.147061666666698,2005
45,2005-05-03,3,29.699975000000023,29.184126666666685,2005
46,2005-08-01,3,37.42598750000002,37.149315833333354,2005
47,2006-05-21,5,34.76040000000003,32.868419000000024,2006
48,2006-05-28,3,33.35231750000003,32.68022250000002,2006
49,2006-08-19,4,39.42617000000003,37.474757500000024,2006
50,2007-01-18,10,19.135645000000025,17.110685000000025,2007
51,2007-03-02,3,21.561242500000034,20.902410000000028,2007
52,2007-05-10,7,32.36080500000003,30.667514285714308,2007
53,2007-06-23,5,42.245387500000035,41.350928000000025,2007
54,2007-07-21,5,42.39431250000003,39.76122050000002,2007
55,2007-08-21,6,37.70351750000003,36.60499375000001,2007
56,2008-04-20,3,27.361105000000038,26.955548333333358,2008
57,2008-05-26,3,35.98855000000003,33.6607316666667,2008
58,2008-08-15,3,38.32699000000002,36.98283500000002,2008
59,2008-09-05,5,34.457845000000034,33.89821850000003,2008
60,2008-10-31,4,25.797885000000022,25.193356250000026,2008
61,2008-12-03,3,20.00997500000001,19.44335250000002,2008
62,2009-01-20,3,16.541432500000013,15.192813333333362,2009
63,2009-05-23,3,32.13503000000003,31.88678333333336,2009
64,2009-12-23,6,20.78842000000003,18.089691250000026,2009
65,2009-12-31,3,19.29030750000001,17.788110000000014,2009
66,2010-01-06,4,18.24520250000002,16.51426750000003,2010
67,2010-05-12,3,31.085840000000033,30.79816416666669,2010
68,2010-06-13,4,37.81826750000003,36.563914375000024,2010
69,2010-08-14,4,37.19155000000001,36.821206250000024,2010
70,2010-11-27,8,23.71590000000002,20.772836250000022,2010
71,2010-12-07,3,19.97871750000003,18.17176333333335,2010
72,2011-09-14,4,33.54396750000002,32.92383562500002,2011
73,2011-12-11,3,17.023335000000017,16.209294166666695,2011
74,2012-06-11,3,37.65127250000002,36.57458916666669,2012
75,2012-08-05,4,38.95315000000002,38.24045687500002,2012
76,2012-08-22,6,37.67977250000003,37.11853375000002,2012
77,2012-09-25,9,32.741665000000026,31.27236361111114,2012
78,2013-01-20,4,15.906950000000023,14.950389375000029,2013
79,2013-04-25,11,30.852445000000017,29.439000227272754,2013
80,2013-05-18,3,32.58828000000001,32.38179916666669,2013
81,2014-01-19,5,18.09871750000002,16.472625500000024,2014
82,2014-02-10,3,18.413625000000025,17.95137583333336,2014
83,2014-02-16,4,20.504327500000016,19.05967750000002,2014
84,2014-03-17,3,24.519487500000025,22.857710000000015,2014
85,2014-08-12,5,38.63112750000002,37.21658900000002,2014
86,2014-10-16,3,29.05172500000002,28.385462500000028,2014
87,2015-05-05,3,31.87368000000002,30.182009166666692,2015
88,2015-09-02,5,38.11190250000003,36.35561600000002,2015
89,2015-09-18,3,34.08534500000002,33.35762583333335,2015
90,2015-11-09,5,24.504112500000033,23.426190000000027,2015
91,2015-11-16,5,20.581075000000013,20.324944000000023,2015
92,2015-11-22,3,22.01418500000004,20.376153333333363,2015
93,2016-01-30,5,20.53701000000001,18.40205050000002,2016
94,2016-02-11,6,22.64467750000003,19.038865000000023,2016
95,2016-04-04,4,26.269892500000026,24.79336750000002,2016
96,2016-04-12,9,32.675992500000035,28.344615833333354,2016
97,2016-05-29,3,33.56618500000003,33.099694166666694,2016
98,2017-02-04,3,18.376307500000024,17.932378333333347,2017
99,2017-03-24,3,24.675620000000023,23.735355000000023,2017
100,2017-04-13,4,25.52010750000001,24.934154375000016,2017
101,2017-05-12,3,33.88228250000002,32.44669666666668,2017
102,2017-06-28,5,41.49361750000003,40.00888750000002,2017
103,2017-09-16,4,36.831627500000025,34.95127187500003,2017
104,2017-10-18,5,27.14656250000003,26.64555550000002,2017
105,2017-12-12,6,17.88448000000001,16.79890500000002,2017
106,2018-04-22,6,29.061122500000025,27.87462666666669,2018
107,2019-03-06,6,23.532810000000012,22.10000333333335,2019
108,2019-06-13,3,36.69289500000002,35.451093333333354,2019
109,2019-07-08,3,40.17977250000001,38.420639166666696,2019
110,2019-10-22,3,26.41048500000001,25.973517500000014,2019
111,2019-11-28,3,20.67324250000003,19.332311666666698,2019
112,2020-01-28,3,17.456445000000016,16.635044166666688,2020
113,2020-02-01,4,18.465052500000027,17.917672500000023,2020
114,2020-03-12,3,23.923365000000004,22.54846750000002,2020
115,2020-05-11,8,37.40725000000002,33.26345125000002,2020
