month,t2m_celsius,d2m_celsius,rh_percent,heat_index_c,dewpoint_depression_c,wind_speed,precip_mm
1,5.124500654498161,1.2235658933578228,77.60623734688814,3.7188913617833896,3.9009347611403373,1.5147779810393034,0.0928595235270671
2,6.579169480909522,1.9955471372267388,74.7189189965138,5.243635980576112,4.583622343682783,1.6910316130839023,0.08730925872026023
3,9.61248517777859,3.842393792057402,70.33024985661558,8.46478290098001,5.770091385721186,1.7719006008096594,0.08506520132483876
4,13.839393143731034,6.703276421859199,65.43363008740461,12.982055267641744,7.136116721871835,1.745061138360709,0.0731803615140615
5,19.24956583819429,10.124479110453091,59.13965516901638,18.699565079843268,9.125086727741202,1.6859323777014048,0.05970431966918915
6,24.558208716579884,12.766473044646109,50.92632109629353,24.19146463634516,11.791735671933775,1.5918055414410663,0.034434651866043005
7,26.859828331340417,14.028577681585082,48.01467366147417,26.618128891928727,12.831250649755335,1.557727565045061,0.034078181271622175
8,26.056508091925092,14.598673132046411,52.10739214916946,25.91830461125055,11.457834959878682,1.4938301181067204,0.03370781524180823
9,21.263047167216005,12.804611440811746,61.79897787343243,20.971741794269803,8.458435726404261,1.5186967919077743,0.07227506082128195
10,16.027644229707914,10.258019324623048,71.4215880990477,15.541645232883365,5.769624905084863,1.4646361655256688,0.07367883149846348
11,10.964159301152005,6.855099195253748,77.66025953600877,10.14394797308517,4.109060105898258,1.4318249420339402,0.0902854458235465
12,6.555025961106846,3.0422319029099336,79.6950448003585,5.347010282560225,3.512794058196912,1.4459584656812798,0.11250693149627593
