variable,OLS slope/decade,OLS p-value,Theil-Sen slope/decade,Theil-Sen 95% low,Theil-Sen 95% high,Kendall tau,tau p-value,significant (p<0.05)
t2m_mean,0.5015046914784754,2.213241115633446e-08,0.492089768038962,0.31733984862027054,0.6531161832191756,0.6126984126984127,1.458958686391861e-07,True
d2m_mean,0.1861219052010406,0.05961188458577806,0.185003230690899,-0.03492204542360433,0.38667589405489206,0.20317460317460317,0.08125077369559813,False
rh_mean,-0.9904300674710053,0.009581904374103679,-1.1704952668695152,-1.8792679082679875,-0.34335244466833975,-0.29841269841269846,0.01044530703621189,True
heat_index_mean,0.5165945765233094,3.0547597305622005e-08,0.5105372830067187,0.35779835066072296,0.6865661128334576,0.5841269841269842,5.37304365844526e-07,True
dpd_mean,0.31538278627743493,0.0033457195211519302,0.346922160498146,0.1022433152275628,0.5918594655054652,0.32063492063492066,0.005933739984725707,True
wind_mean,0.009860946397122386,0.2893943914565158,0.01205081396165266,-0.0073742696861531535,0.03196570919044461,0.17142857142857143,0.1412758198327672,False
t2m_p95,0.6539504626178906,2.823570799565366e-06,0.6385613281250035,0.3885682386363631,0.8698374999999983,0.5365079365079365,4.1472689932257865e-06,True
t2m_p05,0.44754314103095655,0.012408106697539605,0.44551520237862324,0.054076875000000676,0.8036346637517737,0.26031746031746034,0.025494482125145313,True
tmax_mean,0.631039913529138,3.527605222194018e-08,0.6407547773304251,0.41466111872145694,0.8286409022257146,0.5968253968253969,3.031851772921819e-07,True
tmin_mean,0.4187605473082365,7.944205549485341e-07,0.41572832191780845,0.26845467865169376,0.5744411815068495,0.5238095238095238,6.960426368845302e-06,True
precip_scaled,51.81418940105271,0.007122635214801285,49.01638927874057,13.427323080012496,88.83186807681427,0.28253968253968254,0.015328674623339845,True
