year,t2m_mean,d2m_mean,rh_mean,heat_index_mean,dpd_mean,wind_mean,t2m_p95,t2m_p05,tmax_mean,tmin_mean,precip_scaled,days tmax≥30°C,days tmax≥33°C,days tmax≥35°C,days tmax≥37°C,days tmax≥40°C,tropical nights tmin≥20°C,days heat index≥35°C,heatwaves,heatwave days,longest (days),wet days,mean intensity (mm/wet day),max 1-day (mm),P95 wet-day (mm),longest dry spell (days)
1990,18.656719337328788,11.278932953767146,65.65984665303839,18.30593535257949,7.377786383561644,2.3735350654881926,32.22031262500003,7.323492000000007,22.70781808904112,14.254572356164406,339.1730685,68,33,21,3,0,83,22,0,0,0,50,6.4969473,20.5501215,18.583102124999996,77
1991,17.901571498287694,10.601008416095913,65.74867101342743,17.484861848662828,7.300563082191781,2.3954092305575903,33.006401125000025,6.9536932500000335,22.02541951369865,13.403957321917833,444.955395,78,42,22,7,0,73,29,2,7,4,54,7.887161555555555,31.2795135,25.36664242499998,94
1992,17.919006021174887,9.833350997267782,63.00252372429795,17.363295877946943,8.085655023907105,2.4241422867572964,32.25272725000003,6.871344125000024,22.18869585382516,13.105661140710405,309.797676,69,36,22,6,0,44,24,3,9,3,41,7.153312609756098,27.015928499999998,20.2795965,95
1993,17.30598214554797,10.071872952054818,65.91490344391286,16.791444970423683,7.2341091934931505,2.4683642565615664,31.98332037500002,6.339771250000021,21.358184527397285,12.8718061712329,426.4541265,61,34,12,1,0,58,11,0,0,0,64,6.395438296875,39.704679,17.603695274999986,74
1994,18.56548507191783,10.528021953767146,63.46190500667531,18.069189072271733,8.037463118150685,2.3648264258579865,32.76531687500002,7.036985375000034,22.912643828767145,13.736439479452077,268.294839,76,39,15,3,0,66,15,1,3,3,38,6.58106822368421,21.913908,18.009437775,134
1995,19.759275366438377,10.788114352739749,60.40430362339564,19.311734595350757,8.97116101369863,2.527353106896092,32.19495200000004,8.447464625000027,24.037575335616463,14.884755034246599,435.3635565,75,32,23,16,5,58,24,9,43,9,54,7.829793777777779,57.184701000000004,26.280863549999975,58
1996,18.61564199624319,11.13376605020494,65.69902138494005,18.18497426708984,7.481875946038251,2.6730830238207943,32.02455587500001,8.412524625000023,22.550975846994557,14.391637465847017,938.854959,83,34,11,3,0,72,12,2,8,5,88,10.508130000000001,70.47987,34.32519502499998,56
1997,19.42167307191783,11.66225588013701,65.00243727973469,19.060955438976595,7.7594171917808215,2.5100430477163265,31.896081375000016,9.208986875000017,23.504471280821942,14.981088952054817,747.8143590000001,73,24,8,5,0,73,11,5,24,9,69,10.574490608695653,55.175547,35.096177399999966,58
1998,18.939810789383582,10.489081845890434,61.787193098363545,18.4849721155126,8.45072894349315,2.4837535469005343,33.34912300000001,7.666885625000026,23.3083448082192,14.085181410958928,348.2108385,84,46,27,12,0,78,27,4,16,6,51,6.500420500000001,28.167489,20.750246250000004,79
1999,18.74864959075345,10.216542352739749,61.77426103237798,18.23816768415254,8.532107238013698,2.5652831405838334,32.36565887500003,6.269679375000013,23.074184616438377,14.074874034246598,427.808304,79,36,16,8,0,78,17,4,20,10,44,9.316016897727273,73.7664825,35.670414600000015,109
2000,19.15069573258199,10.446352691256852,61.963866962443326,18.597583741939598,8.704343041325137,2.4957700155087883,34.211866250000035,7.805303375000013,23.626850635245926,14.45950767076505,452.831982,100,72,34,14,4,95,20,8,34,9,56,7.713072214285715,33.011811,26.632009875,126
2001,19.192759378424682,11.280099715753447,64.43467447151937,18.764885746595724,7.912659662671233,2.6711155959135335,33.396640625000025,8.148478625000024,23.248902965753448,15.075191534246597,694.6612665,98,55,27,8,0,102,19,3,17,9,63,10.68878157142857,54.651975,34.647494849999994,69
2002,18.65281910102742,11.472931652397284,67.05810226134297,18.26133892197037,7.1798874486301365,2.529178853970819,32.26830450000002,8.308136000000022,23.009614773972622,13.846405883561665,562.555557,73,32,15,5,0,39,11,3,10,4,66,8.285142522727273,32.6856915,23.50939425,128
2003,19.059816123287693,11.353848130137008,65.45821344514499,18.66119621723611,7.7059679931506855,2.5230930533196356,34.09383250000003,7.54281675000002,23.41847789041098,14.308226917808243,611.724,105,57,30,18,2,67,33,4,26,16,68,8.794485794117648,35.0075205,27.436146074999996,55
2004,18.712777139685816,11.06819960211751,65.5398807862048,18.301338673599222,7.644577537568306,2.3153638735677498,33.880295375000024,7.24716262500003,23.18219479508199,13.731052240437181,467.3198445,102,61,32,12,5,80,29,6,25,6,51,8.810162264705882,55.671933,22.31636175,76
