year,fwi_mean,fwi_p95,fwi_max,fwi_season_mean,days_fwi_gt30,days_high_effis,days_very_high_effis,days_extreme_effis,dc_season_mean,longest_high_run
1990,17.637682465753425,43.216620000000006,57.4516,34.79298278688525,108,152,46,4,861.4181565573771,92
1991,17.22378082191781,45.51386000000002,55.8282,33.71807950819672,100,140,52,7,869.5395598360656,88
1992,19.800423497267758,47.828100000000006,64.0505,31.593182786885247,112,153,63,13,858.4754237704917,86
1993,16.71409205479452,42.0633,54.0517,33.64814672131148,100,125,47,1,846.7514303278688,73
1994,20.744072328767125,47.05946,70.4993,38.999777049180324,116,162,68,13,897.456218852459,119
1995,24.95272602739726,50.404860000000006,67.1646,38.56427295081967,170,219,95,20,1209.4988106557378,58
1996,15.746875956284153,44.832875,61.0702,34.006388524590164,93,120,54,10,650.1601286885245,76
1997,17.74698465753425,44.56312,61.7113,31.561098360655738,102,156,57,12,731.0263295081967,32
1998,20.40139863013699,46.53428,64.5133,33.681817213114755,103,163,54,11,749.4302590163934,79
1999,21.38144712328767,48.320100000000004,63.9094,35.95079672131148,139,169,78,12,1090.160336885246,108
2000,21.8662543715847,55.5171,68.6541,44.459754098360655,133,159,103,33,862.1818647540983,111
2001,17.76602191780822,47.69626000000001,66.1975,38.1609893442623,116,138,70,12,808.062418852459,65
2002,17.017303561643836,46.36274,63.8158,34.74119508196721,114,135,57,10,796.6852016393442,82
2003,17.63034109589041,52.7733,63.7569,41.50098196721312,123,135,82,26,815.2271360655739,96
2004,17.216055737704917,45.203375,60.3112,36.34298606557377,105,135,55,9,727.4506401639345,61
2005,26.341313972602737,52.30558,65.7039,43.12908114754099,174,201,123,35,1134.7733450819671,96
2006,17.80375698630137,49.77516,62.5501,36.70538524590164,115,135,76,18,758.5496188524589,58
2007,18.21104575342466,44.74526,57.8939,33.155404098360655,97,142,54,6,718.9129131147541,68
2008,17.795175956284154,48.4294,59.8762,36.32539180327869,98,120,71,10,729.5285172131147,73
2009,24.56396794520548,51.94272,69.0781,42.79004016393443,162,200,108,24,1043.1875901639344,112
2010,17.593343287671235,48.903960000000005,57.6934,36.56713852459016,110,141,66,14,751.1379614754098,44
2011,17.963173424657533,45.40854,70.0425,36.126204918032784,116,144,75,6,656.2647614754098,85
2012,25.29329535519126,54.00305,67.9021,42.609113934426226,167,210,124,34,1094.6093040983606,138
2013,20.764038630136987,50.970220000000005,67.2336,41.28155081967213,117,170,77,24,815.3323483606557,99
2014,19.273869863013697,44.57838,63.6568,35.07595409836066,126,158,76,7,887.5880901639345,82
2015,22.572466849315067,51.84952,64.9532,40.88301885245902,142,162,103,23,1058.714925409836,129
2016,20.024025409836067,51.754599999999996,63.6637,42.286242622950816,124,144,94,23,818.155425409836,106
2017,23.80013342465753,51.8387,62.7633,41.34305737704918,146,181,100,25,853.8069336065574,52
2018,16.187850136986302,45.785019999999996,68.247,35.3402213114754,97,125,55,7,738.4737459016394,91
2019,24.201626027397264,50.39686000000001,61.7794,37.762245081967215,145,195,89,19,1076.6726926229508,132
2020,19.269705737704918,46.03815,68.8906,37.511697540983604,133,152,70,10,883.5654663934426,105
2021,18.201774794520546,41.5421,52.3569,32.215209836065576,88,142,40,2,872.2136221311475,86
2022,21.523907671232877,46.85614,62.6001,37.702318852459015,136,167,65,14,939.2167680327868,112
2023,22.270857808219176,47.465140000000005,54.7805,32.736263114754095,142,179,88,11,902.6576655737705,80
2024,17.525564480874316,39.945775,54.0448,33.25264016393442,115,157,29,2,907.363024590164,81
2025,17.01796904109589,43.69072,55.1053,35.95651803278689,114,154,43,4,826.129131147541,108
