year,first_high_doy,last_high_doy,high_season_span
1990,80,287,207
1991,103,281,178
1992,82,281,199
1993,58,277,219
1994,82,300,218
1995,7,314,307
1996,152,315,163
1997,68,292,224
1998,71,360,289
1999,44,283,239
2000,54,294,240
2001,101,270,169
2002,113,317,204
2003,103,272,169
2004,121,320,199
2005,20,282,262
2006,137,289,152
2007,72,323,251
2008,47,331,284
2009,76,329,253
2010,99,312,213
2011,101,294,193
2012,30,298,268
2013,115,346,231
2014,69,307,238
2015,64,277,213
2016,91,285,194
2017,94,330,236
2018,52,282,230
2019,56,318,262
2020,67,294,227
2021,77,350,273
2022,32,315,283
2023,48,326,278
2024,84,283,199
2025,118,299,181
