year,min_spi3
1990,-1.4550710314463753
1991,-1.4771163029968863
1992,-1.4344425792722324
1993,-0.9850959050096512
1994,-1.969203149967317
1995,-2.7525753604316123
1996,-0.3444265280225384
1997,-1.6941489180573912
1998,-2.435000146998291
1999,-1.296101730410605
2000,-1.896159949778448
2001,-0.44712357473262243
2002,-1.3297481257906285
2003,-1.590255339684779
2004,-0.9317627281618717
2005,-2.1122908196771872
2006,-0.1927573559361182
2007,-1.060754797051818
2008,-0.6766276642474859
2009,-1.6839120862277004
2010,0.006466389062400767
2011,-0.3042659058450647
2012,-2.2975715386395335
2013,-1.382128997689156
2014,-1.0460219166255915
2015,-1.485519698150474
2016,-1.5763440229490466
2017,-1.2455320304600224
2018,-0.6051326913555729
2019,-2.595628660250034
2020,-0.8054204365392369
2021,-0.988286070639335
2022,-1.948480414050131
2023,-3.650177606429426
2024,-2.653462480193802
2025,-1.6557815158705262
