year,min_spi3
2026,-1.3489186532784307
2027,-0.8918448311976536
2028,-2.8696434937839923
2029,-2.6325910431564066
2030,-2.7123761879090242
2031,-1.2673369151849139
2032,-2.624490762043159
2033,-2.227821591428594
2034,-1.6002581475435238
2035,-1.9898506204851572
2036,-2.4926139990349405
2037,-3.709711792897929
2038,-3.644820093421919
2039,-2.012672435672223
2040,-0.8464727045143899
2041,-2.788809802128499
2042,-1.9714940907237335
2043,-3.36196825361274
2044,-2.1743769849658277
2045,-2.3733416741213187
2046,-3.4484841199949043
2047,-1.51997785648678
2048,-1.106894536485502
2049,-3.5889226404108143
2050,-2.8036643625631
2051,-1.9020283918646337
2052,-1.146321612306357
2053,-2.665296330938126
2054,-1.814138723711778
2055,-1.0103857505785816
2056,-3.9113561808635318
2057,-1.7096204295634196
2058,-4.226085144231383
2059,-2.730095578857534
2060,-0.6311614043642403
2061,-2.1925950387283253
2062,-2.193268413261282
2063,-2.32536972418591
2064,-1.020462354147007
2065,-2.118644050131083
2066,-4.753424308822899
2067,-1.084916543429343
2068,-1.9988394704246437
2069,-3.7662541501361804
2070,-2.5096196862633335
2071,-0.5158910296642801
2072,-1.2187852477304548
2073,-3.965056569200206
2074,-3.067156778102255
2075,-1.0108782036699882
2076,-3.9557779342490513
2077,-1.34636183685904
2078,-1.8166683565376474
2079,-2.7129077915485045
2080,-1.4420933911055986
2081,-1.6770287369269874
2082,-3.1784363651606986
2083,-0.6423570185388638
2084,-1.939179493372144
2085,-2.1566424147143177
2086,-1.1536599157632377
2087,-1.7050404556775711
2088,-3.2263454162312737
2089,-2.037846787307231
2090,-2.2594565796443753
2091,-2.8330524303031157
2092,-3.254260888363203
2093,-3.410701491131802
2094,-1.6584290552756074
2095,-2.4177875065695864
2096,-2.9987104332570755
2097,-1.9733871291297984
2098,-3.158742812799427
2099,-1.9100683000465037
2100,-3.540008497261778
