year,rx1day_mm,heavy_days,sdii_mm_per_wet_day,wet_days,precip_total
2026,82.65036207634925,3,7.7203825320943205,66,509.5452471182252
2027,30.546580303858946,3,7.436633655467934,71,528.0009895382233
2028,75.4994228495278,10,9.995252551276963,91,909.5679821662036
2029,47.82085887490209,3,7.46441368719716,64,477.72247598061824
2030,20.09105108529499,0,5.766618487191761,81,467.0960974625326
2031,20.96529648855109,0,5.030158189164024,77,387.3221805656299
2032,55.024959819407755,2,7.249317818712563,54,391.4631622104784
2033,25.190394096814543,2,6.175046641711268,54,333.45251865240846
2034,16.725491883877805,0,5.957753102574588,51,303.845408231304
2035,25.138950553696542,1,5.399726497039704,76,410.3792137750175
2036,29.35376393696448,4,7.802518023919933,49,382.3233831720767
2037,31.17897337953811,4,6.621705458162419,74,490.006203904019
2038,37.23442889990013,3,6.915391550589895,56,387.2619268330341
2039,21.94250089754976,2,5.948519290075387,58,345.0141188243724
2040,35.075002208520424,6,7.910341256692441,72,569.5445704818558
2041,31.25869360401435,2,6.447268539485065,47,303.02162135579806
2042,44.218569638105635,5,6.687779006061901,79,528.3345414788902
2043,43.57618408618426,4,8.153746847207096,57,464.76357029080447
2044,23.49041730647527,2,5.52211206892026,40,220.88448275681037
2045,51.08934135507656,8,7.897920542804127,93,734.5066104807838
2046,31.09587909094819,3,7.159005624364741,80,572.7204499491793
2047,24.496627943832724,2,6.090761763187699,71,432.4440851863267
2048,93.50505776963156,2,8.103971191184186,51,413.30253075039354
2049,30.940225798379466,4,6.977693473354323,62,432.61699534796804
2050,76.19637411972462,3,8.474497505232387,61,516.9443478191756
2051,57.8522541142612,7,8.15345600054452,73,595.2022880397499
2052,39.03520153961461,5,7.130214366003141,75,534.7660774502356
2053,23.42551505759667,1,6.669382206432454,54,360.1466391473525
2054,25.349338644398337,2,6.229596524118124,60,373.77579144708744
2055,38.40273634142594,3,7.527932839890587,52,391.45250767431054
2056,33.64471172680509,5,6.946435273580104,75,520.9826455185078
2057,40.31912329058468,7,7.207234358909891,94,677.4800297375298
2058,19.23920286191977,0,5.474975500771029,58,317.54857904471965
2059,42.66349893932747,1,6.0552133158783095,67,405.69929216384674
2060,41.68062440452086,4,7.770434633880553,66,512.8486858361165
2061,148.15849768438284,7,9.468411117789081,85,804.8149450120719
2062,31.749388448451356,4,7.062727014895923,48,339.0108967150043
2063,62.1024219642289,2,5.9623552124251455,54,321.9671814709579
2064,69.66466682177018,3,8.93422550204019,51,455.64550060404974
2065,30.219217995249537,5,7.412324144141471,99,733.8200902700056
2066,36.59084425734357,3,6.538446249229488,62,405.3836674522283
2067,34.69141669201741,3,6.540112475767652,71,464.3479857795033
2068,75.99823789644418,2,6.824508890299026,62,423.1195511985396
2069,39.34651340421925,3,6.756196904565828,70,472.9337833196079
2070,39.136528421418525,2,6.057900276190094,69,417.9951190571165
2071,36.68297840991618,3,6.799472306500622,91,618.7519798915566
2072,40.41318744481275,6,8.76056252206793,61,534.3943138461437
2073,47.59876404049919,8,8.807629474593876,75,660.5722105945407
2074,37.022246142185466,1,5.585558608376891,55,307.205723460729
2075,45.5111059876363,5,7.043500605834437,62,436.6970375617351
2076,54.871458362020185,4,7.340040287379038,62,455.0824978175004
2077,54.507781992918666,4,7.699073773775715,65,500.43979529542145
2078,27.178150876320757,4,7.3845211805662565,58,428.3022284728429
2079,30.957495125094223,4,7.103630844120125,79,561.1868366854899
2080,87.35813863821936,8,10.445822064981856,73,762.5450107436754
2081,46.231711841506446,3,6.766428043358836,62,419.5185386882478
2082,63.2673122117873,3,8.169989937809495,61,498.3693862063792
2083,42.79614452190852,3,7.232787887693367,54,390.5705459354418
2084,25.32860316681835,2,6.682954734003993,76,507.9045597843035
2085,70.54541064834248,9,9.487507410674487,78,740.02557803261
2086,44.415839188488086,4,7.838457610715564,57,446.7920838107872
2087,31.80905815926454,3,6.2201909180588695,65,404.3124096738265
2088,20.492186040159115,0,6.20326088834741,45,279.14673997563347
2089,32.1223628227162,3,6.041375018480753,59,356.44112609036443
2090,56.398450729427395,4,8.153287792086815,55,448.4308285647748
2091,32.65066512447302,3,6.368468813860768,48,305.68650306531686
2092,33.88906828890994,4,7.688099095824369,65,499.726441228584
2093,43.59431417736867,1,6.80589869062091,34,231.40055548111093
2094,33.21278791213313,1,7.650806782055972,42,321.3338848463508
2095,76.41475852855947,2,7.4108327374642835,47,348.3091386608213
2096,75.20809732486546,3,8.32294874693822,63,524.3457710571079
2097,67.98474327092768,6,11.275202192334833,51,575.0353118090765
2098,32.06756660565231,3,6.885924907364449,59,406.26956953450247
2099,37.84688432207328,2,6.673202014578701,58,387.04571684556464
2100,37.01317435819301,6,10.003684550765684,62,620.2284421474724
