year,days_fwi_gt30,fwi_mean,fwi_p95,fwi_max
2026,108,20.414,47.403,58.961
2027,114,18.008,50.644,61.685
2028,152,24.014,50.577,62.437
2029,155,26.746,53.78,68.21
2030,213,30.861,54.607,62.319
2031,138,21.838,51.447,64.432
2032,135,22.981,50.962,58.941
2033,125,23.01,52.406,62.631
2034,132,22.93,54.074,69.128
2035,143,23.969,54.309,59.362
2036,128,18.581,49.701,58.935
2037,142,21.943,48.41,63.804
2038,169,28.043,52.832,66.985
2039,150,25.027,51.64,68.856
2040,189,27.631,55.62,72.422
2041,117,18.665,45.819,56.498
2042,121,18.441,44.904,49.704
2043,135,24.319,54.409,67.301
2044,120,19.641,50.312,57.188
2045,117,20.651,51.936,58.194
2046,134,23.132,49.892,59.308
2047,120,19.805,43.665,57.493
2048,142,20.106,50.003,62.194
2049,176,28.63,57.079,61.771
2050,138,22.137,51.891,59.64
2051,121,22.34,53.081,61.652
2052,77,16.662,42.624,53.727
2053,117,20.644,49.178,62.511
2054,137,22.021,51.292,60.583
2055,128,20.724,48.376,58.467
2056,132,22.517,49.214,62.787
2057,128,20.585,50.937,60.632
2058,130,19.353,49.867,61.707
2059,144,21.373,53.132,60.873
2060,157,26.01,54.821,64.757
2061,147,25.107,51.594,62.763
2062,142,22.062,51.011,68.148
2063,132,22.179,48.452,62.031
2064,166,26.366,61.56,70.305
2065,131,21.858,58.174,64.704
2066,156,24.089,48.965,59.289
2067,162,25.32,51.925,61.362
2068,92,17.264,45.166,62.36
2069,166,26.479,51.575,62.493
2070,188,30.083,60.014,70.172
2071,155,24.719,54.13,68.449
2072,154,23.877,54.164,69.842
2073,164,25.345,50.441,60.343
2074,126,21.691,50.216,56.621
2075,117,18.819,49.846,69.794
2076,143,21.76,50.401,61.288
2077,146,24.533,57.169,70.49
2078,149,23.172,57.28,70.478
2079,139,22.734,58.185,69.718
2080,102,16.529,49.728,62.173
2081,164,24.441,53.116,70.236
2082,179,25.905,50.043,59.185
2083,148,23.234,54.599,60.816
2084,143,24.624,56.231,68.076
2085,144,23.804,54.318,63.128
2086,138,22.188,51.542,60.898
2087,135,21.363,49.831,67.77
2088,171,26.068,57.306,70.427
2089,181,29.27,52.858,59.607
2090,175,28.3,58.179,69.662
2091,178,28.14,57.695,69.393
2092,140,23.94,49.491,56.612
2093,183,26.45,52.111,60.639
2094,192,29.763,55.09,68.542
2095,170,26.98,49.775,61.606
2096,170,26.498,56.904,74.583
2097,154,22.515,49.438,53.502
2098,158,25.126,51.905,68.366
2099,200,27.848,52.818,63.536
2100,146,24.9,57.45,66.995
