year,min_spi3
2026,-1.2183052342609624
2027,-3.150707114341922
2028,-2.93963704535201
2029,-2.308186877510703
2030,-3.684271743331319
2031,-0.9371427245456038
2032,-2.712628825665723
2033,-1.514960729438801
2034,-1.3343618989881034
2035,-3.355211874357934
2036,-2.0823655873580837
2037,-2.7486398909855896
2038,-2.1925512005494183
2039,-1.8455522712925652
2040,-4.753424308822899
2041,-1.1253004112989249
2042,-2.630336975486001
2043,-1.6943806677414055
2044,-1.2096595045320047
2045,-1.836686066649733
2046,-1.7796497056765406
2047,-1.0313470203414694
2048,-1.4244233646594437
2049,-3.146869487234709
2050,-1.7872388661185277
2051,-1.3118712639305734
2052,-0.4781578443791667
2053,-1.8812461928662132
2054,-2.8476291038660753
2055,-2.107469396152028
2056,-4.128899656300899
2057,-1.755376443297163
2058,-0.9331335389587737
2059,-2.1936327088864744
2060,-3.0090505707213593
2061,-2.413984016554438
2062,-3.0545924802648297
2063,-1.7231104523192844
2064,-1.7365293293740827
2065,-2.4424291517916
2066,-2.826157337461448
2067,-1.8802530419921026
2068,-1.0307383578853144
2069,-2.670707652257856
2070,-2.6117014571406587
2071,-1.9594365969257057
2072,-2.144308501101053
2073,-3.625567187666839
2074,-2.0657579785242777
2075,-0.939682777571184
2076,-2.7099335629357393
2077,-2.856029651357382
2078,-1.7014117806650595
2079,-2.632863026884412
2080,-0.6215709020943422
2081,-2.358238203617458
2082,-3.3516244320024997
2083,-1.8419957016843655
2084,-2.107954337145158
2085,-1.2057525505436528
2086,-1.0861835565638782
2087,-2.2903537999270727
2088,-3.819199621541131
2089,-2.9007289765569837
2090,-2.9539524134299957
2091,-2.0970142189758687
2092,-1.5414919143978456
2093,-2.5443347315095233
2094,-3.635315881523699
2095,-3.5867293884883886
2096,-3.4701873014261273
2097,-2.8031347985907225
2098,-2.708977907652888
2099,-3.2502394235044623
2100,-1.4849115507942416
