year,days_fwi_gt15,days_fwi_gt30,days_fwi_gt45,fwi_mean,fwi_jjas_mean,fwi_p95,fwi_max
2026,198,108,27,20.414,36.828,47.403,58.961
2027,156,114,34,18.008,33.879,50.644,61.685
2028,237,152,45,24.014,39.742,50.577,62.437
2029,245,155,79,26.746,44.36,53.78,68.21
2030,296,213,69,30.861,42.585,54.607,62.319
2031,199,138,62,21.838,42.105,51.447,64.432
2032,225,135,58,22.981,42.276,50.962,58.941
2033,196,125,62,23.01,40.574,52.406,62.631
2034,194,132,75,22.93,44.489,54.074,69.128
2035,215,143,80,23.969,43.48,54.309,59.362
2036,171,128,45,18.581,38.819,49.701,58.935
2037,188,142,48,21.943,36.183,48.41,63.804
2038,262,169,71,28.043,44.908,52.832,66.985
2039,243,150,59,25.027,42.431,51.64,68.856
2040,240,189,79,27.631,42.789,55.62,72.422
2041,169,117,25,18.665,36.296,45.819,56.498
2042,178,121,17,18.441,38.837,44.904,49.704
2043,219,135,71,24.319,46.707,54.409,67.301
2044,175,120,53,19.641,37.081,50.312,57.188
2045,188,117,48,20.651,39.755,51.936,58.194
