year,days_fwi_gt15,days_fwi_gt30,days_fwi_gt45,fwi_mean,fwi_jjas_mean,fwi_p95,fwi_max
2026,225,150,69,25.78,43.452,56.868,66.599
2027,193,126,84,23.591,41.8,60.652,68.497
2028,261,191,100,31.068,49.322,60.69,70.476
2029,307,195,126,34.728,53.959,63.49,75.894
2030,325,241,124,37.125,52.232,62.978,73.727
2031,228,161,109,27.82,50.471,61.067,71.972
2032,254,168,100,28.894,50.276,60.915,69.951
2033,257,158,105,30.09,46.801,62.276,69.983
2034,246,170,110,30.057,53.874,64.156,76.01
2035,241,187,127,30.357,53.444,63.449,70.823
2036,196,151,91,25.163,47.616,60.614,68.637
2037,245,156,107,28.674,42.72,59.482,71.206
2038,312,198,133,35.563,55.12,64.331,78.924
2039,278,187,130,32.724,52.339,61.437,74.998
2040,258,219,149,34.372,52.086,65.052,79.759
2041,186,139,69,23.15,41.815,53.917,66.689
2042,198,146,93,24.07,47.637,55.717,61.329
2043,276,159,127,32.143,55.876,63.766,76.277
2044,237,156,88,27.4,46.714,60.488,66.107
2045,234,154,82,27.152,48.771,62.967,71.705
