year,era5_historical,cmip6_raw_direct,cmip6_biascorrected_direct,baseline_precip_scaled_only,baseline_naive_full_mean
1990,44.9459547258,,,,
1991,85.04319208563001,,,,
1992,76.23624833229,,,,
1993,80.54566374288,,,,
1994,141.32666568294,,,,
1995,86.1489775254,,,,
1996,47.10817332294,,,,
1997,56.86569201114,,,,
1998,155.7286978971,,,,
1999,93.81651847803,,,,
2000,42.85168569885,,,,
2001,56.56099289379,,,,
2002,90.40188767592,,,,
2003,77.98361790171,,,,
2004,49.28827290777,,,,
2005,56.619644651429994,,,,
2006,69.51284408382,,,,
2007,39.050102288489995,,,,
2008,78.50217836004,,,,
2009,95.95871011545,,,,
2010,56.83350557685,,,,
2011,49.51000208664,,,,
2012,91.31455439439,,,,
2013,50.29535287347,,,,
2014,58.72321121454,,,,
2015,101.10640537224,,,,
2016,81.2594888448,,,,
2017,141.31379131653,,,,
2018,95.18051131218,,,,
2019,96.80128166078998,,,,
2020,91.35603948495,,,,
2021,65.65976142883034,,,,
2022,90.68870544433528,,,,
2023,253.0660629272421,,,,
2024,99.2352962493871,,,,
2025,138.56220245360896,,,,
2026,,66.031175995,82.33994511873331,76.78220112939738,85.70560813950566
2027,,60.10941377842521,80.73771181112646,79.28365315202343,85.70560813950566
2028,,34.56430814496703,42.77952167203476,45.822009880250704,85.70560813950566
2029,,43.09626410680354,53.320836758463926,45.54098304410853,85.70560813950566
2030,,74.8058774773433,95.23336188356649,76.69155486580324,85.70560813950566
2031,,61.58960695908806,92.36236952632251,121.75117462530429,85.70560813950566
2032,,40.691130547075815,66.55335223372364,30.4697953897183,85.70560813950566
2033,,56.86784767559494,74.51159045727402,73.10216329962446,85.70560813950566
2034,,73.74795057521666,99.21425456302713,57.318892756037314,85.70560813950566
2035,,70.03567675261833,72.47897019415363,51.03827353528196,85.70560813950566
2036,,102.36323753043334,147.7294275662098,100.02433180885237,85.70560813950566
2037,,42.176940185663916,76.73767224211993,54.98931749495165,85.70560813950566
2038,,49.50121740412376,60.246221269600184,56.76540695476591,85.70560813950566
2039,,42.26399657372393,79.72496280662723,54.05353816700624,85.70560813950566
2040,,69.74991550578122,150.64826740600347,135.51321610320974,85.70560813950566
2041,,44.09682555333333,44.629692005665575,50.716283528772976,85.70560813950566
2042,,41.26623989148666,39.23534751376775,50.962481561889504,85.70560813950566
2043,,56.358672021000004,73.25009197433725,37.019255692207054,85.70560813950566
2044,,51.71813857165217,63.77285066255324,45.537973152742296,85.70560813950566
2045,,36.26109782816454,64.73169731345965,52.258239454761735,85.70560813950566
