year,era5_historical,cmip6_raw,cmip6_biascorrected,baseline_ols_full_history,baseline_naive_full_mean
1990,-2.61940322553606,,,,
1991,-1.2756986077886514,,,,
1992,-1.716395638235845,,,,
1993,-1.7728450714938868,,,,
1994,-1.2851325331198802,,,,
1995,-1.3676145502973929,,,,
1996,-0.8173454672182505,,,,
1997,-0.2110761898633127,,,,
1998,-2.452709514608043,,,,
1999,-1.6258847852495766,,,,
2000,-1.783983112141713,,,,
2001,-1.990686263350678,,,,
2002,-0.9108646031494247,,,,
2003,-0.8267741298169309,,,,
2004,-1.2288383076170712,,,,
2005,-1.2936118236012972,,,,
2006,-0.2214464477005068,,,,
2007,-2.06480606667085,,,,
2008,-2.034985859557419,,,,
2009,-1.5542698391310967,,,,
2010,-0.3513059843922276,,,,
2011,-1.576725867869082,,,,
2012,-1.836181005905008,,,,
2013,-1.8622326152588824,,,,
2014,-1.1126665333063277,,,,
2015,-0.9836341551974886,,,,
2016,-1.7066309116414788,,,,
2017,-1.151337869671003,,,,
2018,-0.5227356719967239,,,,
2019,-0.7718519173888653,,,,
2020,-1.3588343040051956,,,,
2021,-1.1747157116331817,,,,
2022,-0.2040122702424823,,,,
2023,-1.76732043129359,,,,
2024,-0.8253285126839903,,,,
2025,-0.9022312831539046,,,,
2026,,-1.2229131349193636,-1.3489186532784307,-0.971692615277334,-1.3100588078274253
2027,,-0.8927180937086362,-0.8918448311976545,-0.95340255081517,-1.3100588078274253
2028,,-2.7762184424713165,-2.8696434937839923,-0.9351124863529989,-1.3100588078274253
2029,,-2.1211974347802935,-2.6325910431564066,-0.916822421890835,-1.3100588078274253
2030,,-1.5455883368342815,-2.712376187909026,-0.898532357428671,-1.3100588078274253
2031,,-1.2495805564860398,-1.2673369151849152,-0.8802422929664999,-1.3100588078274253
2032,,-1.9809877536210423,-2.62449076204316,-0.861952228504336,-1.3100588078274253
2033,,-2.4629224950770188,-2.2278215914285946,-0.8436621640421649,-1.3100588078274253
2034,,-1.3332133768576488,-1.6002581475435251,-0.8253720995800009,-1.3100588078274253
2035,,-1.654440656309367,-1.9898506204851576,-0.8070820351178369,-1.3100588078274253
2036,,-1.909515338171511,-2.4926139990349405,-0.7887919706556659,-1.3100588078274253
2037,,-3.109676763566666,-3.709711792897929,-0.7705019061935019,-1.3100588078274253
2038,,-2.6398255590248576,-3.644820093421918,-0.7522118417313308,-1.3100588078274253
2039,,-2.3702818237358296,-2.012672435672223,-0.7339217772691669,-1.3100588078274253
2040,,-0.6511945141363629,-0.8464727045143899,-0.7156317128069958,-1.3100588078274253
2041,,-2.855362893617384,-2.788809802128499,-0.6973416483448318,-1.3100588078274253
2042,,-2.0330549234148263,-1.9714940907237335,-0.6790515838826678,-1.3100588078274253
2043,,-2.864084585435912,-3.36196825361274,-0.6607615194204968,-1.3100588078274253
2044,,-2.0118519958506766,-2.1743769849658277,-0.6424714549583328,-1.3100588078274253
2045,,-1.8155543394648763,-2.3733416741213187,-0.6241813904961617,-1.3100588078274253
