year,tas_mean,rh_mean,heat_index_mean,wind_mean,tas_p95,tas_p05,tmax_mean,tmin_mean,precip_total,days tmax>=30 C,days tmax>=33 C,days tmax>=35 C,days tmax>=37 C,days tmax>=40 C,tropical nights tmin>=20 C,days heat index>=35 C,heatwaves,heatwave days,longest (days),wet days,mean intensity (mm/wet day),max 1-day (mm),P95 wet-day (mm),longest dry spell (days),max_week_precip_mm
2026,16.851838474885867,64.64783406135477,16.26246428314894,2.8421619778310503,29.60598366666669,3.6300893333333497,19.96095772602742,13.629622452054816,603.9268833335476,65,33,7,0,0,98,0,0,0,0,107.0,5.249815199982546,18.177341166666668,13.50378765,36.0,66.031175995
2027,16.69458196347034,65.1778747228452,16.09865149441939,2.8747738015936073,30.25170133333335,4.3309053333333525,19.900621347031986,13.412421936073082,552.681759539061,70,42,17,2,0,101,0,4,14,4,105.0,4.87233124334049,34.2530475,12.039737106666667,26.0,60.10941377842521
2028,16.97827451141555,63.344362388336336,16.33084263733063,2.941881502821918,30.310031000000023,6.0049663333333605,20.30596348401829,13.493150429223768,444.3867039114088,72,40,11,0,0,93,0,0,0,0,92.0,4.393222814102974,16.207508833333332,11.310047240833333,29.0,34.56430814496703
2029,16.975817365296827,60.44232604304123,16.220984171617136,2.8805895848995435,30.96481733333336,4.243032333333355,20.417366041095914,13.457256913242032,391.8589197214086,78,42,19,4,0,101,0,1,3,3,68.0,5.165268108903802,22.761617333333334,12.702513695833334,25.0,43.09626410680354
2030,16.40653082648404,61.16164849650077,15.611878227815954,3.0949698807853885,30.399435666666694,2.6449220000000158,19.51694387671235,13.13555568036532,561.2468952287675,72,36,18,4,0,89,0,4,15,4,94.0,5.541551682715301,27.381408833333335,17.940229523333333,61.0,74.8058774773433
2031,16.83829855707765,66.38041786511828,16.315686153585656,2.9815972444429226,29.96691033333335,2.444512666666685,19.754487141552534,13.812335273972625,754.537300245468,48,23,13,1,0,104,0,1,3,3,129.0,5.628443173720438,38.989213666666664,17.488518733333333,43.0,61.58960695908806
2032,17.51731569406395,59.896598944030366,16.820268682551692,2.9007527952009133,31.44073433333336,4.50628066666668,21.20428574429226,13.816075511415548,334.44413570851685,103,59,32,6,0,109,0,9,35,7,65.0,4.561866611474969,23.463479500000002,15.38673201333333,41.0,40.691130547075815
2033,17.896927315068513,61.58674104706313,17.2724279237241,2.893239493821918,31.967763000000023,6.11368633333336,21.052691388127876,14.596181534246599,550.4836143897393,92,58,26,8,0,111,0,4,21,9,94.0,5.409530780189195,46.9418035,13.666496424999988,45.0,56.86784767559494
2034,17.459774022831073,63.03423558625236,16.850673190315415,2.9095628155707765,31.169248666666682,5.849733333333351,20.541015045662125,14.265368908675821,486.80314809494354,76,43,20,4,0,104,0,3,11,4,92.0,4.769517470147174,42.03994433333333,12.305549090000007,35.0,73.74795057521666
2035,18.761749410958927,62.05067397682,18.258396302520335,2.7989888062922375,32.506476666666686,6.861309666666693,22.039728278538835,15.397423246575364,478.74250712282833,92,65,46,5,0,119,0,8,42,11,98.0,4.53417710001378,21.822459999999996,14.643131957499977,25.0,70.03567675261833
2036,17.701679100456644,63.5664136868185,17.160998924092475,3.0334734670365298,31.214588666666693,5.949638000000018,20.76736105022833,14.553711716895,644.9333394375482,71,49,27,6,0,94,0,7,24,5,116.0,5.242609511222005,36.64117016666667,15.473617658333334,33.0,102.36323753043334
2037,16.630888310502307,62.60697407289292,15.978121363790038,2.916975746283105,31.244623333333358,3.423324666666692,19.78621036986304,13.353135360730615,418.48887613598924,61,45,26,3,0,89,0,2,12,7,84.0,4.430184840624499,24.66215683333333,15.035404369166653,37.0,42.176940185663916
2038,17.790546264840206,60.8174745151236,17.127810580336245,2.9704211159315066,33.60575100000003,3.9631360000000333,20.933574045662123,14.451140022831074,489.42508492337566,101,80,60,34,0,117,1,4,47,32,93.0,4.822875789373855,24.568521250000003,13.286397279999983,49.0,49.50121740412376
2039,18.685093287671258,61.61847073463069,18.188762838010195,2.762316433593607,31.68994666666669,7.696041666666688,21.90726151141555,15.306859219178106,455.91952907237714,83,61,31,9,0,106,2,3,14,6,95.0,4.416640698183437,22.008762333333333,9.632639998333332,36.0,42.26399657372393
2040,17.124917187214635,66.07511216001544,16.635104438130384,2.995885584305936,30.01958533333336,6.497150333333354,20.246151630137007,13.91606483561646,768.8232614343389,69,35,13,2,0,91,0,3,10,4,131.0,5.5091972094832,34.1370925,14.483798499999999,19.0,69.74991550578122
2041,17.980196159817375,63.232253526250474,17.452936829134973,2.883232219347032,32.36909900000003,5.8613253333333635,21.326187378995456,14.616666506849338,499.8886361171915,67,47,33,15,0,110,0,4,36,15,95.0,4.86438831254522,18.195152333333336,13.729714951666658,38.0,44.09682555333333
2042,17.850147100456645,63.651177994354995,17.433358249706092,2.8981177015114157,30.27340000000002,6.611979000000025,20.998868415525138,14.585622771689522,469.7475671765607,79,35,11,1,0,95,0,4,17,7,99.0,4.29745363157166,20.366223333333334,12.376330116666665,20.0,41.26623989148666
2043,18.43623757534249,58.045517847288814,17.776869097284585,2.9075978006712324,32.08077933333336,5.849222000000024,21.866343835616462,14.855729447488606,377.15314999572996,98,59,38,14,2,113,1,5,29,12,67.0,5.04246618497687,24.271463166666667,14.783175478333332,35.0,56.358672021000004
2044,18.952418278538833,60.37204244165101,18.461570124604954,2.8786394088995433,33.08674166666669,7.532531000000019,22.089023264840208,15.698840196347055,423.3715354003816,93,59,37,21,0,132,6,8,59,15,90.0,4.1532111366325495,27.52330545,9.657117525833332,26.0,51.71813857165217
2045,18.41242272146121,61.033004626186425,17.84450393253927,2.9611019626255706,32.038223666666696,6.942650000000018,21.659228022831073,15.09469869406395,410.4088798699324,96,62,35,7,0,115,0,6,29,7,87.0,4.2751154268575595,17.742427,11.671470076666665,33.0,36.26109782816454
