year,tas_mean,rh_mean,heat_index_mean,wind_mean,tas_p95,tas_p05,tmax_mean,tmin_mean,precip_total,days tmax>=30 C,days tmax>=33 C,days tmax>=35 C,days tmax>=37 C,days tmax>=40 C,tropical nights tmin>=20 C,days heat index>=35 C,heatwaves,heatwave days,longest (days),wet days,mean intensity (mm/wet day),max 1-day (mm),P95 wet-day (mm),longest dry spell (days),max_week_precip_mm
2026,15.843736177745878,66.04643150193388,15.231664385948088,1.5166077189887632,27.05131499258924,2.4433551864484495,21.24262114891793,11.899972661426132,574.3688938611089,68,27,9,0,0,61,0,4,16,6,84.0,6.509100691500693,32.939786871435295,17.292283100748023,60.0,82.33994511873331
2027,15.724485298391832,66.13955602208497,15.106566989340765,1.539673106351721,27.244224540700333,3.0703121546114596,21.113319210713552,11.698387418413343,587.0127060894267,76,38,14,0,0,69,0,7,33,6,81.0,6.9043184127145825,62.17019257061161,16.50838753149969,27.0,80.73771181112646
2028,15.892215681952628,65.11474815198473,15.251942077523289,1.5795326955462659,27.828573352373713,4.365657794170202,21.504350739417884,11.753629560481782,417.87784739439917,70,29,12,0,0,67,0,4,21,7,69.0,5.60083892462099,21.887845777074805,16.639985828635204,50.0,42.77952167203476
2029,15.914820148784376,62.1837931868111,15.184817914103707,1.5457503567606883,28.229931949629314,2.9935817674541325,21.739807141278913,11.65038258787313,416.4573722003278,80,43,18,5,2,80,0,6,24,6,54.0,7.309743451677401,27.433525580925455,23.773577948532647,35.0,53.320836758463926
2030,15.441891550952706,62.76659170403171,14.640785396660572,1.6613436838683138,28.67351316503469,2.52403934422666,20.657694236245284,11.420675605488317,573.9107142415455,71,39,23,10,4,61,0,8,36,7,72.0,7.498658148180064,35.46630065137528,23.391638066606223,89.0,95.23336188356649
2031,15.874494063014321,67.59019185962515,15.312930647504192,1.6077556383191542,27.140196769731887,1.4481373038431273,21.07290452761422,12.164322723337827,801.6685789398362,46,21,6,0,0,56,0,2,11,6,100.0,7.767184807703364,63.45776131208108,30.098708752870174,52.0,92.36236952632251
2032,16.55668420230597,61.86379780874103,15.885947683599168,1.55568646964625,29.112962264820563,3.2715399126842795,22.626220661901957,12.12621053827479,340.2787107524052,106,72,35,11,2,82,0,16,70,12,46.0,6.833728619286819,38.793802881256575,23.640641517473274,49.0,66.55335223372364
2033,16.89552327771717,63.2247630181673,16.312531351699285,1.547863702927601,28.965968598003514,4.307811373725979,22.55568625689253,12.933247958097287,555.7678146111829,108,63,23,7,0,96,0,9,51,13,68.0,7.762904500801128,67.95996287468695,19.02417601308554,45.0,74.51159045727402
2034,16.473113218855715,64.88087934798287,15.882654998948171,1.5686773454126046,28.663624430530106,4.381968750650187,21.86287910531366,12.585501646360695,475.9898667245973,87,40,17,4,0,83,0,9,42,7,76.0,5.856422150605186,67.61977934789466,15.457492433589605,37.0,99.21425456302713
2035,18.04921359922322,63.88275345071676,17.59544829224259,1.5066371041215212,30.13184704633898,6.232916194269331,23.87081624159932,13.921480121059078,444.2439170175836,109,73,45,12,2,96,0,14,107,19,70.0,5.930750908397612,31.822196928669573,15.99117148278879,59.0,72.47897019415363
2036,16.877748203162316,65.13781306312448,16.36269707682662,1.6181511330642149,28.838586812889186,4.694808358363333,22.31358614629009,12.969658385838699,691.8483151887849,74,46,26,6,3,76,3,11,54,17,93.0,7.142710473627848,55.754755354694325,31.930909027684503,58.0,147.7294275662098
