start,length,peak,mean_tmax,year
2027-01-03,4,16.212348333333352,15.535645833333353,2027
2027-07-25,3,36.011925000000026,35.97529833333336,2027
2027-08-15,4,37.22609833333336,36.69819041666669,2027
2027-09-28,3,31.041193333333364,30.674583888888915,2027
2029-07-24,3,37.276308333333354,36.897640555555576,2029
2030-06-19,4,36.17946833333335,35.95924958333335,2030
2030-07-06,4,38.19323833333336,37.26860125000003,2030
2030-08-03,4,37.54609500000001,36.97612375000001,2030
2030-12-14,3,15.662111666666695,15.37101388888891,2030
2031-08-03,3,37.18664000000002,36.59289222222224,2031
2032-01-15,5,18.453976666666687,16.185811666666687,2032
2032-05-23,7,32.91064833333335,32.005274761904786,2032
2032-06-05,3,35.781996666666686,35.09000722222225,2032
2032-07-15,3,38.182635000000026,37.403251666666684,2032
2032-07-19,3,37.95934333333336,36.95983833333335,2032
2032-07-26,3,36.4884116666667,36.14063222222225,2032
2032-07-30,4,38.45581500000003,37.23295250000002,2032
2032-08-19,3,36.73653500000001,36.63512555555557,2032
2032-09-06,4,34.38031833333335,33.97448250000002,2032
2033-07-26,9,38.17704000000003,37.34912888888891,2033
2033-08-26,5,37.65960000000002,36.36275000000003,2033
2033-09-06,3,34.37886500000002,33.73122444444447,2033
2033-09-16,4,34.98929833333336,33.97236000000002,2033
2034-07-20,4,37.54797833333336,37.118746666666695,2034
2034-12-16,3,16.96063166666669,15.927480555555578,2034
2034-12-25,4,15.669168333333355,15.305296666666687,2034
2035-01-07,7,15.665785000000028,14.915892142857166,2035
2035-01-28,4,16.53554500000003,16.09274541666669,2035
2035-07-18,3,36.786338333333354,36.60277166666669,2035
2035-07-26,11,37.697738333333355,36.7394381818182,2035
2035-08-30,3,35.3377066666667,35.110057777777804,2035
2035-12-12,3,17.526235000000025,16.588508333333362,2035
2035-12-16,5,15.948001666666698,15.449146333333355,2035
2035-12-30,6,17.351966666666687,16.223016666666684,2035
2036-01-09,3,15.951603333333367,14.877258333333359,2036
2036-07-07,3,39.24297333333336,38.15593944444446,2036
2036-07-17,3,39.92723500000002,38.63632333333336,2036
2036-12-05,3,16.82115333333336,16.56949555555558,2036
2036-12-11,5,17.626943333333355,16.560524666666687,2036
2036-12-23,3,16.779750000000018,15.923855555555575,2036
2036-12-28,4,17.61420833333335,16.455215000000024,2036
2037-08-06,5,38.09267833333336,36.839196666666695,2037
2037-08-17,7,37.57411833333336,36.64863761904764,2037
2038-06-12,5,38.447171666666684,36.51733566666669,2038
2038-07-16,3,38.14184166666669,37.241606666666684,2038
2038-07-20,32,39.318593333333354,37.700350989583356,2038
2038-08-22,7,38.15077500000002,36.76034642857145,2038
2039-07-13,6,38.65005166666669,37.65170750000002,2039
2039-07-31,3,36.781265000000026,36.533033888888916,2039
2039-08-13,5,39.440651666666696,37.84142333333337,2039
2040-08-13,4,36.72240000000002,36.37822791666669,2040
2040-09-02,3,34.89172000000003,34.56589722222225,2040
2040-12-13,3,16.599988333333346,15.8960377777778,2040
2041-04-03,6,26.035751666666687,24.595432222222247,2041
2041-07-02,4,38.920861666666696,37.82780500000002,2041
2041-08-07,15,39.63556333333335,37.34771933333335,2041
2041-08-24,11,37.96929166666669,36.72584060606063,2041
2042-01-21,3,15.80741500000002,15.24744722222225,2042
2042-12-06,7,17.51403000000001,16.66679976190478,2042
2042-12-19,4,16.598758333333354,16.05372791666669,2042
2042-12-26,3,15.667910000000026,15.330842222222254,2042
2043-06-11,6,38.02530500000003,36.428353333333355,2043
2043-06-26,4,39.006793333333356,37.91749958333336,2043
2043-07-20,12,40.529703333333366,37.92549708333336,2043
2043-08-10,3,36.99146500000003,36.63514111111113,2043
2043-12-16,4,17.693978333333348,16.814401666666686,2043
2044-01-05,9,17.237430000000018,16.038897777777798,2044
2044-03-01,3,20.097203333333358,19.9293977777778,2044
2044-03-12,5,21.968475000000023,21.28116600000002,2044
2044-07-09,6,39.77621166666669,37.92047194444447,2044
2044-07-17,15,39.784826666666696,37.840432111111134,2044
2044-08-21,7,37.98652000000001,37.165374761904786,2044
2044-10-06,4,30.54343833333336,29.672703750000018,2044
2044-12-11,10,17.537416666666672,16.077506833333352,2044
2045-01-11,5,15.9493666666667,15.346753000000025,2045
2045-01-17,3,16.09394500000003,15.432729444444464,2045
2045-06-11,5,36.513921666666675,35.84683333333335,2045
2045-07-14,6,38.38379000000001,37.35738138888891,2045
2045-07-24,3,37.09735333333336,36.91917555555558,2045
2045-08-18,7,37.982918333333345,36.82215214285717,2045
