start,length,peak,mean_tmax,year
2026-05-08,3,30.195364676589442,29.915386965954777,2026
2026-06-26,3,36.93067142113002,36.82319075870799,2026
2026-10-17,6,27.896684960695264,26.848488682882294,2026
2026-11-17,4,21.415934194166418,20.46502510555242,2026
2027-01-01,6,19.850625000000008,17.84363166906078,2027
2027-03-08,5,23.530177781196535,22.214179555333082,2027
2027-07-25,3,36.23727577507612,36.17843824311081,2027
2027-08-16,3,36.935343776599304,36.61257943135553,2027
2027-09-01,6,34.495176549933404,34.08415553321198,2027
2027-09-28,6,35.204290833333346,32.38395503910215,2027
2027-12-30,4,18.306618104537485,16.05626199418404,2027
2028-01-18,4,15.997433901028042,15.522059021329774,2028
2028-03-03,3,24.592785064991986,22.701522095479607,2028
2028-04-14,7,27.802179043373297,26.295775194438683,2028
2028-11-08,7,25.48356830053719,23.25619694431712,2028
2029-01-22,3,18.45525929125082,16.058718149755503,2029
2029-07-07,6,40.53385191369593,38.130459982920144,2029
2029-07-24,3,38.57131688959134,37.77523646822704,2029
2029-09-02,3,34.44976552194167,34.38994680308233,2029
2029-10-23,5,28.160925060917496,26.976956605110434,2029
2029-11-12,4,23.639757891389415,22.697014516914635,2029
2030-03-28,4,29.57001856299901,27.02055786516102,2030
2030-04-10,3,24.664005800715756,24.387373743407355,2030
2030-05-02,7,29.950141569233676,29.138671642305987,2030
2030-06-08,4,35.91542585656385,35.334699873518666,2030
2030-06-18,6,42.2883475,39.71182629161643,2030
2030-07-05,5,39.835269641051774,37.92646001289786,2030
2030-08-04,3,37.262188886318,36.99404273920842,2030
2030-12-14,4,17.539156899087704,16.263243675938522,2030
2031-04-24,5,27.325572988469112,27.17378498901786,2031
2031-11-23,6,23.239813838964327,21.125842573003087,2031
2032-01-15,5,22.092253333333343,19.746065153275556,2032
2032-02-02,3,18.799540416395754,17.888862078688977,2032
2032-02-09,4,21.433061666666664,19.1237642601845,2032
2032-03-28,4,27.63246875316601,25.26489408836516,2032
2032-05-11,3,30.855664627867483,30.317002193050126,2032
2032-05-21,12,35.89355727690917,33.7357196336739,2032
2032-06-04,4,40.59753541007105,37.58961609066794,2032
2032-07-14,4,39.82204318439548,38.133548411913225,2032
2032-07-19,4,39.56893470156821,37.351480684953394,2032
2032-07-26,3,36.868487746664016,36.3981749632644,2032
2032-07-30,4,38.555867507976735,37.37532521911023,2032
2032-08-19,3,36.465172683816405,36.33489889516165,2032
2032-09-06,4,34.597797789045465,34.504708144456316,2032
2032-10-01,6,33.323372500000005,31.120873810935546,2032
2032-11-01,3,26.398171501052456,26.051081237131978,2032
2032-11-21,4,21.048144529424835,20.11523737171078,2032
2033-02-13,7,20.943251430405944,19.561548776788964,2033
2033-02-21,3,20.53967877925092,19.76312307798435,2033
2033-03-27,5,32.13823833333335,29.057946963743397,2033
2033-07-26,9,39.8150640559775,38.112376797099074,2033
2033-08-27,4,37.37629929894621,36.28948600482725,2033
2033-09-06,3,34.59746442695087,34.37714344896973,2033
2033-09-16,4,34.737484152608545,34.419022625929,2033
2033-10-03,13,33.139742500000025,30.68717515728785,2033
2033-11-21,3,21.67026578684256,20.803121724408868,2033
2034-03-08,6,22.38971719044278,21.072410635693128,2034
2034-03-17,3,25.281742670106674,23.296448863966603,2034
2034-03-24,3,29.204246238197687,26.061940167340907,2034
2034-04-17,3,25.346534329636498,25.19071830545288,2034
2034-06-03,7,35.77279121226451,34.141453238719365,2034
2034-07-20,4,39.14907145123188,38.19421237987574,2034
2034-11-10,7,24.117089615223787,23.128065097936226,2034
2034-12-16,5,21.460975487729424,17.505679761050583,2034
2034-12-25,4,17.546642372467772,16.636290428015418,2034
2035-01-06,19,19.936350000000015,17.358540818023457,2035
2035-01-26,10,20.173821666666687,18.253035837130096,2035
2035-02-20,5,22.472073333333316,21.383436415954474,2035
