year,era5_historical,cmip6_raw,cmip6_biascorrected
1990,6.394196296028906,,
1991,6.321701138056364,,
1992,7.045393904883333,,
1993,7.153992400712278,,
1994,8.856732666393292,,
1995,8.041790561388929,,
1996,5.062564286380885,,
1997,7.275215510607931,,
1998,8.172683707957601,,
1999,7.697484313073572,,
2000,5.913684894569538,,
2001,6.288542560862369,,
2002,8.44548372056625,,
2003,6.908217642987766,,
2004,6.237523905452143,,
2005,6.232926251286,,
2006,8.08679915356447,,
2007,6.103955318362598,,
2008,5.5986976605484,,
2009,7.4072159285980215,,
2010,7.419806362402942,,
2011,6.7550460465096664,,
2012,8.333058537302726,,
2013,6.462051591238235,,
2014,6.56984132531353,,
2015,7.1109352717984855,,
2016,6.728824358063133,,
2017,9.981798517399342,,
2018,8.62001670033706,,
2019,7.813739779429059,,
2020,6.612884311635883,,
2021,6.551822026570138,,
2022,9.499051354147646,,
2023,9.103342726989945,,
2024,8.71280053766715,,
2025,7.138222455977875,,
2026,,5.644176479752781,6.8377249269179625
2027,,5.263635805133914,7.247070445548478
2028,,4.830290259906618,6.05620068687535
2029,,5.762631172373656,7.71217355926533
2030,,5.970711651369867,7.970982142243688
2031,,5.849126358492001,8.01668578939836
2032,,5.145294395515644,7.3973632772262
2033,,5.856208663720631,8.173056097223277
2034,,5.291338566249387,6.263024562165754
2035,,4.88512762370233,6.346341671679766
2036,,5.559770167565071,7.439229195578331
2037,,4.982010430190348,8.44026947106574
2038,,5.262635321756727,6.857858310206251
2039,,4.79915293760397,6.961891528484112
2040,,5.8688798582773956,8.06694485501068
2041,,5.261985643338858,6.234033659541235
2042,,4.744924920975361,5.998119185567015
2043,,5.629151492473581,6.550588450378777
2044,,4.704128171115351,5.704687101864588
2045,,4.7173434467808315,6.343807655008597
