year,era5_historical,cmip6_raw,cmip6_biascorrected
1990,108.0,,
1991,100.0,,
1992,112.0,,
1993,100.0,,
1994,116.0,,
1995,170.0,,
1996,93.0,,
1997,102.0,,
1998,103.0,,
1999,139.0,,
2000,133.0,,
2001,116.0,,
2002,114.0,,
2003,123.0,,
2004,105.0,,
2005,174.0,,
2006,115.0,,
2007,97.0,,
2008,98.0,,
2009,162.0,,
2010,110.0,,
2011,116.0,,
2012,167.0,,
2013,117.0,,
2014,126.0,,
2015,142.0,,
2016,124.0,,
2017,146.0,,
2018,97.0,,
2019,145.0,,
2020,133.0,,
2021,88.0,,
2022,136.0,,
2023,142.0,,
2024,115.0,,
2025,114.0,,
2026,,150.0,108.0
2027,,126.0,114.0
2028,,191.0,152.0
2029,,195.0,155.0
2030,,241.0,213.0
2031,,161.0,138.0
2032,,168.0,135.0
2033,,158.0,125.0
2034,,170.0,132.0
2035,,187.0,143.0
2036,,151.0,128.0
2037,,156.0,142.0
2038,,198.0,169.0
2039,,187.0,150.0
2040,,219.0,189.0
2041,,139.0,117.0
2042,,146.0,121.0
2043,,159.0,135.0
2044,,156.0,120.0
2045,,154.0,117.0
