year,era5_historical,cmip6_raw,cmip6_biascorrected,baseline_naive_full_mean
1990,-1.4550710314463753,,,
1991,-1.4771163029968863,,,
1992,-1.4344425792722324,,,
1993,-0.9850959050096512,,,
1994,-1.969203149967317,,,
1995,-2.7525753604316123,,,
1996,-0.3444265280225384,,,
1997,-1.6941489180573912,,,
1998,-2.435000146998291,,,
1999,-1.296101730410605,,,
2000,-1.896159949778448,,,
2001,-0.4471235747326224,,,
2002,-1.3297481257906285,,,
2003,-1.590255339684779,,,
2004,-0.9317627281618716,,,
2005,-2.1122908196771872,,,
2006,-0.1927573559361182,,,
2007,-1.060754797051818,,,
2008,-0.6766276642474859,,,
2009,-1.6839120862277004,,,
2010,0.0064663890624007,,,
2011,-0.3042659058450647,,,
2012,-2.2975715386395335,,,
2013,-1.382128997689156,,,
2014,-1.0460219166255915,,,
2015,-1.485519698150474,,,
2016,-1.5763440229490466,,,
2017,-1.2455320304600224,,,
2018,-0.6051326913555729,,,
2019,-2.595628660250034,,,
2020,-0.8054204365392369,,,
2021,-0.988286070639335,,,
2022,-1.948480414050131,,,
2023,-3.650177606429426,,,
2024,-2.653462480193802,,,
2025,-1.6557815158705262,,,
2026,,-2.075148183262447,-1.2183052342609624,-1.4443850469590587
2027,,-3.745334854218224,-3.150707114341922,-1.4443850469590587
2028,,-3.22545007223053,-2.93963704535201,-1.4443850469590587
2029,,-2.3218348600230327,-2.308186877510703,-1.4443850469590587
2030,,-3.9229212197509034,-3.684271743331319,-1.4443850469590587
2031,,-1.6403596128339613,-0.9371427245456038,-1.4443850469590587
2032,,-3.2066252712199677,-2.712628825665723,-1.4443850469590587
2033,,-2.0548237474032036,-1.514960729438801,-1.4443850469590587
2034,,-2.229004806678274,-1.3343618989881034,-1.4443850469590587
2035,,-2.99275793650808,-3.355211874357934,-1.4443850469590587
2036,,-2.8131732450695504,-2.0823655873580837,-1.4443850469590587
2037,,-3.4063710742900795,-2.7486398909855896,-1.4443850469590587
2038,,-3.0867043593527272,-2.1925512005494183,-1.4443850469590587
2039,,-2.798555688815515,-1.8455522712925652,-1.4443850469590587
2040,,-4.753424308822899,-4.753424308822899,-1.4443850469590587
2041,,-1.538222681779067,-1.1253004112989249,-1.4443850469590587
2042,,-2.5519058331717117,-2.63033697548598,-1.4443850469590587
2043,,-2.832960355708748,-1.6943806677414055,-1.4443850469590587
2044,,-1.410634476038031,-1.2096595045320049,-1.4443850469590587
2045,,-2.502152669389235,-1.836686066649733,-1.4443850469590587
