year,tas_mean,rh_mean,heat_index_mean,wind_mean,tas_p95,tas_p05,tmax_mean,tmin_mean,precip_total,days tmax>=30 C,days tmax>=33 C,days tmax>=35 C,days tmax>=37 C,days tmax>=40 C,tropical nights tmin>=20 C,days heat index>=35 C,heatwaves,heatwave days,longest (days),wet days,mean intensity (mm/wet day),max 1-day (mm),P95 wet-day (mm),longest dry spell (days)
2026,20.358731582191805,54.1245059382252,19.700822354261003,2.5589276583561644,33.051739500000004,8.606823500000022,24.969644123287694,16.057011938356187,253.25720299984965,119,85,62,40,8,125,0,15,76,12,62.0,3.6349354652558046,18.74701225,9.550207562499999,46.0
2027,20.41377910273975,57.739611332316905,19.838925645297536,2.6210534199109587,33.30245450000003,11.27654600000003,24.611044417808237,16.48573747260276,449.1159650562639,107,83,63,37,8,120,2,11,75,11,76.0,5.572162733280547,21.809676,15.9300963125,104.0
2028,20.880250547945227,50.17387686054528,20.11424657688779,2.5406743818150685,33.31328250000001,9.976471000000023,25.458662945205504,16.53666286986304,181.56215119732542,115,93,58,35,1,125,0,16,80,10,41.0,3.8924540219878048,20.364939999999997,9.043321925,45.0
2029,20.689230438356187,46.3545854798236,19.68163660235234,2.603717090027397,34.41847000000003,9.315216000000031,25.271251794520573,16.23529422602742,133.13747166404337,131,89,67,47,11,136,3,13,73,11,29.0,3.954094465931034,23.7885485,15.328725099999977,98.0
2030,20.741248178082213,44.508030351085026,19.746218105706184,2.6665952361164384,33.34883300000001,8.856348000000011,25.300786801369885,16.35953799315071,101.98307929213705,119,71,58,38,7,131,0,17,103,15,19.0,4.31308898685478,11.539322525,11.026785912499998,111.0
2031,20.45158175342468,51.339362407268005,19.5862121714043,2.699784825260274,33.380093500000015,8.97901050000002,24.564097445205505,16.408287136986324,353.20864823577216,128,90,63,35,4,139,0,16,78,10,61.0,5.330111990323579,32.989641750000004,14.9805655,76.0
2032,20.900937369863037,52.472003102733666,20.115194126018753,2.5443159806712328,34.673128500000026,10.884833500000024,25.18531672602742,16.801090178082216,229.546076884605,104,85,69,48,16,111,4,16,92,19,46.0,4.439438120579891,25.510428750000003,15.186669875000002,128.0
2033,20.929484089041118,51.42918408169852,20.09471528083153,2.465898301630137,34.96928500000002,9.504016500000025,25.700278760273996,16.398686246575366,196.99842732769642,113,97,78,60,24,123,4,16,107,20,50.0,3.5382019231770006,16.889838,8.684835942499996,93.0
2034,21.080891164383583,49.69644738492484,20.18471427248453,2.5594955840821916,34.09936500000002,9.691184500000016,25.392992349315094,16.822368698630157,212.6609621402428,120,95,70,50,14,133,0,14,77,11,45.0,4.18915454509811,13.33226875,10.10745455,80.0
2035,21.517948815068515,50.96906553373474,20.667745325039473,2.610796158287671,33.76980350000002,11.165372000000039,25.874673226027422,17.263804712328792,420.90278470173473,135,108,78,50,13,139,0,16,88,12,55.0,7.205489710872725,27.0669535,17.011559724999998,149.0
2036,20.94941278082194,55.84574924840428,20.293679891586066,2.467839846472603,33.09743600000002,10.017612000000032,25.22685164383564,16.805400821917832,321.58066997338244,127,95,60,32,7,132,0,14,83,11,63.0,4.59724088244484,24.3580095,12.025298124999997,71.0
2037,21.08645699315071,52.95613348215761,20.42852930446945,2.5543729846232877,33.13618900000003,10.355396500000026,25.859702917808242,16.69701771232879,222.59079363343943,123,94,62,42,9,137,2,14,100,16,41.0,4.8154050631614025,20.42582075,10.934272175,71.0
2038,21.757153815068516,47.047557506905086,20.891941166266697,2.5468802250753426,34.08129400000002,10.318495500000012,26.421038534246595,17.263404691780845,110.39577608257026,126,99,81,47,12,133,3,24,132,12,28.0,3.2317860543812498,9.76272715,7.685262778749999,102.0
2039,21.876823910958926,48.36838258159258,21.07609728385732,2.597303628410959,33.55185100000002,10.570926000000028,26.41218533561646,17.488908773972625,208.60630816278032,143,106,73,36,7,148,0,21,133,24,39.0,4.853946812782051,23.92340275,15.034318887500001,119.0
2040,22.008709376712353,47.37818835707149,21.15495948014487,2.735455488534247,34.756357500000014,9.916456500000024,26.322327767123312,17.764917410958926,209.26294419206317,148,122,86,49,13,149,4,15,114,24,41.0,4.503661765682891,14.5784225,10.734347125000001,67.0
2041,20.362147883561665,56.48217259632193,19.749533077805435,2.6771495485821917,31.97025000000004,10.143297000000018,24.507402958904134,16.417651315068515,399.17177384635875,114,71,47,17,3,144,0,9,58,14,65.0,5.821544298220773,38.39222425,18.9864224,36.0
2042,20.9649753082192,57.89012717310233,20.435098200466896,2.463642786027397,32.56603150000002,10.504420000000021,25.403210308219197,16.821156123287693,458.1254988569785,112,96,76,37,1,119,0,17,99,21,70.0,6.180585041974789,27.2243495,20.94535549999999,103.0
2043,21.449692041095915,51.46552870724551,20.641792575123723,2.4499559973561644,34.296522500000016,10.22450250000001,26.547040171232897,16.755026424657558,227.57784868744432,133,107,87,56,14,125,2,21,163,20,32.0,6.485839435184426,24.77075475,21.440817587499993,148.0
2044,21.756826054794544,54.89715423250653,21.195163430161543,2.6283229108356165,33.86755400000002,11.943452500000017,26.176137143835636,17.594770000000022,363.22739927692584,127,93,65,36,12,138,6,21,127,13,60.0,5.561129416800001,23.740299,16.528721468750003,71.0
2045,21.52058522602742,53.926145532777994,20.852029615677136,2.551259979979452,33.41383800000001,10.90875950000002,25.89771171232879,17.405343116438377,267.73842278156195,122,96,77,43,11,133,2,17,103,11,55.0,4.449708824998513,25.576432750000002,10.964851699999993,66.0
