year,tas_mean,rh_mean,heat_index_mean,wind_mean,tas_p95,tas_p05,tmax_mean,tmin_mean,precip_total,days tmax>=30 C,days tmax>=33 C,days tmax>=35 C,days tmax>=37 C,days tmax>=40 C,tropical nights tmin>=20 C,days heat index>=35 C,heatwaves,heatwave days,longest (days),wet days,mean intensity (mm/wet day),max 1-day (mm),P95 wet-day (mm),longest dry spell (days)
2026,19.422217868651614,63.379230426578516,19.159561869466238,2.5336508201663324,29.774407032131386,8.686817886182126,24.075385182924045,14.502248556412882,335.4755564629381,107,60,42,17,0,85,0,7,41,10,56.0,5.634517639895142,27.88408586099668,20.121798493308845,78.0
2027,19.66005208256868,65.78202755834991,19.50701789105714,2.6376202471213728,29.862170441112156,11.679890011686833,23.819852253742905,15.260630040547465,669.1143058349246,96,63,40,12,0,94,1,8,36,7,70.0,9.2853184807715,51.18644194572856,30.56369926074095,121.0
2028,19.844093439907716,60.01541455778541,19.505571731414665,2.48588792320617,29.98704754421577,10.180280318907592,24.440114049060846,14.994472056348052,332.567089477641,98,59,35,13,0,87,0,6,32,10,41.0,7.692233352999012,47.795704027801484,18.059888348515237,69.0
2029,19.582880211886593,55.76531807379851,19.030961988057953,2.5946714241297393,31.14069321902408,9.388523009529774,24.24233988957266,14.541491657345048,214.18814589998564,110,67,49,25,4,93,1,8,36,7,34.0,5.931058454068224,42.97360821428499,21.770346667258366,98.0
2030,19.800096244964692,53.370143071545435,19.173229684056935,2.6646385702501885,30.20202084781087,8.971995262169518,24.39907695865955,14.79463490156268,172.55229614497637,88,58,37,19,3,76,0,10,66,22,21.0,7.504212443105155,23.160652102531913,20.891412264224844,107.0
2031,19.412363326765764,60.642036657638855,18.983340656959474,2.7184371099498077,30.201372373623446,9.163886043341819,23.572182928062343,14.845584248023243,678.641624492171,105,59,39,11,1,92,0,5,26,8,63.0,10.466528120026464,82.86223605279653,39.379509793890456,91.0
2032,20.05745572957593,61.816966331332836,19.76040459992129,2.523133248848215,31.38624360373468,10.927368531552737,24.280686768630687,15.561003301588359,338.1151042920172,95,67,49,25,0,86,2,15,57,6,47.0,6.711867138329312,31.383811885636444,24.644216840612284,110.0
2033,20.036782796742447,60.990147481434484,19.704553096674697,2.45409198509494,31.644276703830563,9.557352915103554,24.79543340991018,14.99500556713001,307.1943190132792,106,84,58,34,8,87,4,11,69,12,48.0,6.121304265943624,37.90783481078932,17.771528768843307,93.0
2034,20.092834125685503,59.502750856821294,19.664554728356332,2.539580552012805,31.49427209784059,9.745588124297484,24.413961441024306,15.358286600948867,344.20870134798986,108,74,50,28,7,88,0,8,36,9,48.0,6.776128535460319,22.22726384746271,19.805489915797622,104.0
2035,20.527810627360775,60.79095931525029,20.185247649079294,2.6486262802744163,30.569746362770545,11.506257852101902,24.85497804696659,15.835793484722927,816.7321696307844,121,84,53,26,0,104,0,7,30,10,67.0,12.01517041893784,42.50255048792362,30.112562612963703,149.0
2036,19.921048103864585,65.9577136079352,19.73072909468205,2.42949330252034,30.289201368825623,10.106172675237218,24.15391241872353,15.291202124249429,632.5406186089041,109,63,31,17,0,94,0,9,45,10,72.0,8.520536245822656,43.14390251856882,32.16587626271494,100.0
2037,20.070445222317638,62.55845483650112,19.816709046495813,2.538167911879314,30.40416947027878,10.477108883830303,24.86878050457623,15.220721108600534,464.1839974897732,105,64,45,23,4,93,2,8,49,12,39.0,11.443063907000289,109.19312329595647,27.775707649018745,74.0
2038,20.847074437570235,56.492263612142516,20.492258775774328,2.4893798678716674,31.193367344702803,10.621593954428626,25.533818342262368,15.893624312598352,180.86182119723458,112,75,50,24,8,100,1,14,80,12,33.0,5.06944551000557,17.32319833177269,16.623414713661425,117.0
2039,20.82360380248258,58.252166794154526,20.54287724762868,2.5748213755180704,30.4272584836555,10.776488117436143,25.36798818117508,15.971936821083034,385.5653288241848,126,76,38,20,1,105,1,10,77,24,46.0,8.218890063649052,35.62013994908523,22.281358093719692,116.0
2040,20.90729993614712,57.36294153336336,20.616121247808678,2.7917756736168955,31.34453382887913,9.742237400959,25.259172947550994,16.287843351853766,412.98099124279014,135,87,51,30,3,124,3,14,73,13,49.0,8.148694399511145,38.29535875230939,20.922985477962005,88.0
2041,19.464520276396602,65.95981419331552,19.22303381681361,2.7368052857558114,28.690721621793337,9.937844379862806,23.52735634327199,15.04676122854981,598.6659270519634,85,47,13,3,0,78,0,4,25,9,53.0,10.906094622055607,48.26015000257144,39.8946882619137,64.0
2042,20.172706447671256,67.12710332210844,20.114255536240616,2.4372735169299227,29.916749234037244,10.840744444357004,24.518646599959126,15.586027730859302,760.2782514927742,100,69,36,5,0,101,0,9,64,16,77.0,9.653373331590997,46.692312685273016,31.60381412130627,124.0
2043,20.59915707967962,61.21845114254524,20.349608995851103,2.4009448049007234,31.036566321618302,10.361990948689026,25.657924593504973,15.466961945754038,546.3648422432755,122,88,54,31,6,99,5,19,108,18,40.0,13.378172718273664,132.42043542121309,45.87310463092666,148.0
2044,20.992534922687522,64.76140564796407,20.918776710355512,2.637096209448519,30.51323299460639,12.453671993029316,25.22524319991505,16.460659216244427,745.2015027337561,109,64,40,19,6,96,4,20,107,14,68.0,10.649978522442614,56.2170121206738,30.609876324711916,111.0
2045,20.669905511482796,63.27923170224471,20.48690639309527,2.5191383045031075,30.492278680404073,11.103729879010974,24.989679011926192,16.125549592365193,421.72739433191833,112,74,49,13,0,116,0,11,64,11,52.0,7.7970900712714,60.02687018994257,21.15077459908362,103.0
