start,length,peak,mean_tmax,year
2026-02-07,9,20.944890815520278,20.03494705221066,2026
2026-07-27,4,39.34826815706729,38.675011954704004,2026
2026-08-16,3,38.39581253914968,37.84714217279292,2026
2026-09-16,10,38.709063606973366,34.6220349723972,2026
2026-10-29,4,28.04534500000001,26.44688812678207,2026
2026-11-15,6,25.211856626468393,23.291565137789945,2026
2026-11-23,5,20.334980847340447,19.770996181153283,2026
2027-01-13,3,18.21313801227182,17.394944601458786,2027
2027-01-24,5,20.620667500000042,18.810606604543956,2027
2027-08-14,4,38.75218269560316,38.293414267543056,2027
2027-09-19,7,36.349628482591534,33.58827297577486,2027
2027-10-01,5,32.211620454380665,31.52702780989416,2027
2027-11-03,3,27.243805000000023,25.701986999131705,2027
2027-11-10,5,26.61479092158772,25.52384436714354,2027
2027-12-10,4,18.113778393071474,17.8326229030139,2027
2028-01-17,6,18.48742682865011,16.96519378001847,2028
2028-01-25,5,20.455685000000035,18.731772792684744,2028
2028-02-25,10,24.152827497175345,22.73045929773483,2028
2028-04-12,3,28.308022233464396,27.858079378299816,2028
2028-06-26,4,39.716375651912436,38.3420459867004,2028
2028-12-21,4,18.286418025615536,17.90919604561387,2028
2029-04-09,3,26.945515776432156,26.917811793157043,2029
2029-04-13,6,28.959889811963198,27.87866447947413,2029
2029-06-03,6,38.22990382172562,36.44542013291533,2029
2029-06-23,7,41.97612500000001,39.75891596090416,2029
2029-07-09,3,39.367531925019776,38.47701802472271,2029
2029-07-31,4,39.66082338263522,39.121084014097256,2029
2029-10-01,4,30.87911594915091,30.768615528842602,2029
2029-12-16,3,19.002955437743758,18.42353366212681,2029
2030-02-01,4,19.31421753834128,18.554643240614617,2030
2030-03-24,7,29.375920000000022,26.079780124435477,2030
2030-04-21,4,29.483274779284724,28.14227388159589,2030
2030-04-30,4,33.12381397379275,31.929599151780298,2030
2030-06-28,8,41.41746574862068,39.059620300296054,2030
2030-07-24,3,38.886003894823894,38.46957221060607,2030
2030-09-01,7,39.397782500000076,38.03532539050743,2030
2030-10-16,3,29.026008897917894,28.224511675998116,2030
2030-11-01,4,28.494697500000015,27.61429340156635,2030
2030-11-21,22,24.108291937851153,20.598385372918248,2030
2031-06-16,4,36.93017911594351,36.591544919794885,2031
2031-06-23,5,40.49337096242547,38.506368036458056,2031
2031-09-22,6,32.93489994678931,32.24492014095342,2031
2031-10-06,3,31.21803402480534,30.819041316526864,2031
2031-11-18,8,23.297552880923565,22.044489939326223,2031
2032-01-13,4,21.344687500000052,19.01207094939773,2032
2032-01-28,6,21.771932500000037,20.22974191043974,2032
2032-02-07,3,18.81316628878643,18.760828907516718,2032
2032-02-24,3,21.80728440455129,21.221957393780283,2032
2032-06-17,3,39.59153743320532,37.99828453888794,2032
2032-07-06,3,38.907661438435866,38.43102274284478,2032
2032-07-13,3,38.650966736043976,38.28889221981581,2032
2032-07-26,4,39.40755202495412,39.17638625952381,2032
2032-07-31,6,39.65570219303021,38.99482715781671,2032
2032-09-01,3,36.920786620245885,36.52399104860504,2032
2032-09-20,4,34.23801419955953,33.231845135206605,2032
2032-10-18,3,27.435609273640168,27.218346683641176,2032
2032-11-09,5,22.72646522799435,22.550903985573296,2032
2032-12-12,4,19.487905124743683,18.55806478052403,2032
2032-12-17,3,18.8871670281441,18.0797825533397,2032
2033-02-02,4,19.647413210142684,18.73977050878739,2033
2033-03-01,4,23.174344057206593,22.873864392290326,2033
2033-05-06,12,34.06891904869578,32.67474494963456,2033
2033-06-26,9,44.709542500000055,41.46628070316419,2033
2033-07-14,5,39.950444675845496,38.95693894438692,2033
2033-07-23,7,41.649515091192406,39.478788942885735,2033
2033-08-23,6,39.347385815175336,38.14485296049418,2033
2033-09-06,6,38.38221784302476,36.52132778668324,2033
2033-11-13,3,23.149077886661964,22.866650898620236,2033
2033-11-22,9,22.57869869353537,20.314704739181177,2033
2033-12-02,4,20.232312055393077,19.251335701599118,2033
