year,min_spi3_corrected,min_spi3_raw,delta
2026,-1.2183052342609624,-2.0751481832624474,0.856842949001485
2027,-3.150707114341922,-3.7453348542182243,0.5946277398763025
2028,-2.93963704535201,-3.22545007223053,0.28581302687851995
2029,-2.308186877510703,-2.3218348600230327,0.013647982512329904
2030,-3.684271743331319,-3.9229212197509034,0.23864947641958434
2031,-0.9371427245456038,-1.6403596128339613,0.7032168882883575
2032,-2.712628825665723,-3.2066252712199677,0.4939964455542447
2033,-1.514960729438801,-2.0548237474032036,0.5398630179644026
2034,-1.3343618989881034,-2.229004806678274,0.8946429076901707
2035,-3.355211874357934,-2.99275793650808,-0.36245393784985414
2036,-2.0823655873580837,-2.8131732450695504,0.7308076577114666
2037,-2.7486398909855896,-3.4063710742900795,0.6577311833044899
2038,-2.1925512005494183,-3.0867043593527272,0.8941531588033089
2039,-1.8455522712925652,-2.798555688815515,0.95300341752295
2040,-4.753424308822899,-4.753424308822899,0.0
2041,-1.1253004112989249,-1.538222681779067,0.4129222704801421
2042,-2.63033697548598,-2.5519058331717117,-0.07843114231426807
2043,-1.6943806677414055,-2.832960355708748,1.1385796879673427
2044,-1.2096595045320047,-1.410634476038031,0.20097497150602628
2045,-1.836686066649733,-2.502152669389235,0.6654666027395018
