year,era5_historical,cmip6_raw,cmip6_biascorrected,baseline_mean_last10yr
1990,18.656719337328788,,,
1991,17.901571498287694,,,
1992,17.919006021174887,,,
1993,17.30598214554797,,,
1994,18.56548507191783,,,
1995,19.759275366438377,,,
1996,18.61564199624319,,,
1997,19.42167307191783,,,
1998,18.939810789383586,,,
1999,18.74864959075345,,,
2000,19.15069573258199,,,
2001,19.19275937842468,,,
2002,18.65281910102742,,,
2003,19.059816123287693,,,
2004,18.712777139685816,,,
2005,19.090898147260297,,,
2006,19.094586648972623,,,
2007,18.392113080479476,,,
2008,18.506491048497292,,,
2009,19.414273119863036,,,
2010,18.97024897260276,,,
2011,19.28930857534249,,,
2012,18.75948511953554,,,
2013,18.57655457363016,,,
2014,19.00004057363016,,,
2015,19.48540955650687,,,
2016,19.327542677595652,,,
2017,19.64700201712331,,,
2018,18.22613207191783,,,
2019,19.01395116952057,,,
2020,19.22915944501369,,,
2021,18.766859122498417,,,
2022,19.547380881113572,,,
2023,19.542011877608648,,,
2024,19.026471251607617,,,
2025,19.185268287136154,,,
2026,,20.358731582191805,19.422217868651614,19.151177880113547
2027,,20.41377910273975,19.66005208256868,19.151177880113547
2028,,20.880250547945227,19.844093439907716,19.151177880113547
2029,,20.689230438356187,19.582880211886593,19.151177880113547
2030,,20.741248178082213,19.800096244964692,19.151177880113547
2031,,20.45158175342468,19.412363326765764,19.151177880113547
2032,,20.900937369863037,20.05745572957593,19.151177880113547
2033,,20.929484089041118,20.036782796742447,19.151177880113547
2034,,21.080891164383583,20.092834125685503,19.151177880113547
2035,,21.517948815068515,20.527810627360775,19.151177880113547
2036,,20.94941278082194,19.921048103864585,19.151177880113547
2037,,21.08645699315071,20.070445222317638,19.151177880113547
2038,,21.757153815068516,20.847074437570235,19.151177880113547
2039,,21.876823910958926,20.82360380248258,19.151177880113547
2040,,22.008709376712353,20.90729993614712,19.151177880113547
2041,,20.362147883561665,19.464520276396602,19.151177880113547
2042,,20.9649753082192,20.172706447671256,19.151177880113547
2043,,21.449692041095915,20.59915707967962,19.151177880113547
2044,,21.756826054794544,20.992534922687522,19.151177880113547
2045,,21.52058522602742,20.669905511482796,19.151177880113547
