city,month,baseline,2036_2045,delta,crosses_30
Seville,1,4.4,4.0,-0.4,False
Seville,2,7.2,10.2,3.0,False
Seville,3,10.8,15.6,4.7,False
Seville,4,13.9,20.5,6.6,False
Seville,5,23.1,31.4,8.3,True
Seville,6,37.4,42.2,4.8,False
Seville,7,44.2,46.4,2.2,False
Seville,8,42.7,43.8,1.1,False
Seville,9,30.7,34.1,3.4,False
Seville,10,15.9,21.3,5.4,False
Seville,11,7.9,9.1,1.2,False
Seville,12,4.7,3.9,-0.8,False
Larissa,1,1.6,2.3,0.7,False
Larissa,2,2.4,4.6,2.2,False
Larissa,3,4.6,10.3,5.7,False
Larissa,4,8.5,16.5,8.0,False
Larissa,5,17.1,20.9,3.8,False
Larissa,6,28.0,35.4,7.4,True
Larissa,7,32.1,37.5,5.4,False
Larissa,8,30.8,37.4,6.6,False
Larissa,9,23.2,31.6,8.4,True
Larissa,10,13.0,19.3,6.3,False
Larissa,11,5.4,9.6,4.2,False
Larissa,12,1.8,2.6,0.8,False
