year,days_fwi_gt15,days_fwi_gt30,days_fwi_gt45,fwi_mean,fwi_jjas_mean,fwi_p95,fwi_max
2026,129,75,25,14.19,31.449,46.342,58.629
2027,135,94,27,15.335,34.102,46.91,64.329
2028,128,75,34,13.863,33.389,48.308,57.829
2029,131,98,58,16.504,40.157,52.577,61.343
2030,133,80,43,14.95,34.723,48.712,55.833
2031,131,88,21,15.278,34.135,45.755,55.812
2032,162,113,36,18.372,37.947,48.383,55.5
2033,168,114,42,19.61,39.049,48.165,59.233
2034,179,124,55,19.76,40.819,48.665,64.147
2035,157,101,45,17.196,38.146,49.234,60.703
2036,146,103,41,17.746,35.008,49.225,59.627
2037,130,94,40,16.221,36.14,49.496,62.602
2038,132,92,40,17.069,37.014,50.755,69.193
2039,144,94,29,17.479,36.201,47.574,54.887
2040,164,80,20,16.125,31.09,45.362,59.33
2041,193,119,66,21.691,44.165,53.482,63.118
2042,132,89,28,15.764,35.406,48.251,54.949
2043,165,88,42,18.252,35.46,49.13,58.061
2044,210,155,84,24.596,48.944,56.315,67.329
2045,127,89,27,14.494,31.878,47.124,60.957
