variable,month,mean_bias_hist_vs_obs,mean_correction_applied
tmax_c,1,0.7383764096774161,-0.692950047164376
tmax_c,2,0.17098253246661166,-0.33989902533661087
tmax_c,3,0.12999543870967756,-0.2830499101717151
tmax_c,4,0.7649196099999998,-1.0442582112276086
tmax_c,5,0.9054742322580651,-1.0304931488245141
tmax_c,6,0.7313839900000012,-0.6680172947571426
tmax_c,7,2.178400964516129,-1.9856316385438724
tmax_c,8,2.72804961290322,-2.6494776602969847
tmax_c,9,2.0058997100000013,-1.7633251600074709
tmax_c,10,0.6235905483870923,-0.6273185317623644
tmax_c,11,0.07295355666666481,0.3681749963644762
tmax_c,12,0.49464813225806736,-0.28731859510418456
tmin_c,1,-0.18489290322580842,0.6962343903724847
tmin_c,2,-0.07404539263456211,0.6089926542321031
tmin_c,3,0.2099811419354829,-0.23292675331925303
tmin_c,4,1.3802267533333339,-1.6100680471806246
tmin_c,5,1.6252503483870964,-1.9743551435638638
tmin_c,6,2.078050333333337,-2.4236092776544633
tmin_c,7,4.196833603225805,-3.980570509686284
tmin_c,8,4.462603267741937,-4.336976277125709
tmin_c,9,3.1980897966666646,-3.3680098038349335
tmin_c,10,1.1281011419354812,-1.1719319836569146
tmin_c,11,0.1720879533333317,0.5999511361353657
tmin_c,12,-0.43409518709677375,1.289948776487857
tmean_c,1,-0.29785018629032045,0.6001730042394885
tmean_c,2,-0.5514244098087797,0.5765721574393684
tmean_c,3,-0.22844659193548544,0.012823892982126125
tmean_c,4,0.8639968258333326,-1.212222517291151
tmean_c,5,1.1874151766128982,-1.4874399891723222
tmean_c,6,1.3404560658333295,-1.563959623785142
tmean_c,7,3.0413548596774227,-3.0088017155325186
tmean_c,8,3.3535247000000012,-3.4223487221578437
tmean_c,9,2.257509017500002,-2.2696167655144857
tmean_c,10,0.6202883024193575,-0.8525170272489309
tmean_c,11,-0.18294509250000068,0.7488650739016478
tmean_c,12,-0.4152243080645146,1.0693001159764235
wind_avg,1,-0.49394111070039015,0.5536168083838957
wind_avg,2,-0.09237889146164058,0.05434265710603231
wind_avg,3,0.002046579329961773,0.030939769785800427
wind_avg,4,0.08866047048619263,-0.06721881618973587
wind_avg,5,0.3540873209265154,-0.3565831880157767
wind_avg,6,0.28641613537726673,-0.3064859053300855
wind_avg,7,0.3654864358904919,-0.368949646000388
wind_avg,8,0.3231548164277007,-0.3303217247880553
wind_avg,9,0.253289708188261,-0.25198942307930744
wind_avg,10,-0.09089847857299116,0.08095013554833771
wind_avg,11,-0.21990772797462377,0.20035429975938457
wind_avg,12,-0.5342612194761416,0.5533147506297533
rh_mean_percent,1,-0.21400887379071776,-0.29226594075240075
rh_mean_percent,2,-2.1421807115367386,1.6720361466716476
rh_mean_percent,3,-7.606438041094208,7.936105068244872
rh_mean_percent,4,-10.873784717347824,11.487992686041771
rh_mean_percent,5,-13.58453762245842,13.964321455513554
rh_mean_percent,6,-11.286258344050047,12.24781207029376
rh_mean_percent,7,-16.26141468899385,16.225151467947576
rh_mean_percent,8,-19.964820776349647,19.88370542908683
rh_mean_percent,9,-17.62606847639472,17.233785842347974
rh_mean_percent,10,-11.557390002660263,11.230129688617914
rh_mean_percent,11,-2.3773917619705855,2.0848053569712763
rh_mean_percent,12,0.09650255048710221,-0.2524066988915303
rh_min_percent,1,-7.334017936938096,6.662992180718054
rh_min_percent,2,-5.453849475770312,4.362746146213582
rh_min_percent,3,-6.139730827928219,6.025585661933132
rh_min_percent,4,-6.001449711506339,6.162280588781466
rh_min_percent,5,-6.774341388104197,6.712743526698524
rh_min_percent,6,-3.668137780064203,4.101066643675897
rh_min_percent,7,-7.367222864579084,7.158187438731897
rh_min_percent,8,-10.375750743345911,10.25811599142981
rh_min_percent,9,-9.712559136198259,9.152641602879559
rh_min_percent,10,-8.286634711308025,7.155352071171931
rh_min_percent,11,-4.61785191662463,3.6138898261244186
rh_min_percent,12,-6.600301185353288,6.6323058378970146
precip_mm_day,1,-0.9712616058333297,1.0923844815890658
precip_mm_day,2,-0.9540289778536001,0.6267611023917191
precip_mm_day,3,-0.5002530228667446,0.47141880570387257
precip_mm_day,4,-0.320512661194317,0.19165777557402916
precip_mm_day,5,-0.18747143742652173,0.038592064109441555
precip_mm_day,6,0.5268084451317241,-0.2695293457938695
precip_mm_day,7,0.07681213883895148,-0.054204736759906856
precip_mm_day,8,0.04859669210088381,-0.02421487166847487
precip_mm_day,9,-0.7657977495924322,0.7394632096773198
precip_mm_day,10,-1.4293080177414845,0.8395190289768448
precip_mm_day,11,-0.8776387175207769,0.6498337003742153
precip_mm_day,12,-1.6254745162847877,2.008622890605785
