year,days_fwi_gt30,fwi_mean,fwi_p95,fwi_max
2026,129,22.67,58.914,66.456
2027,167,26.753,51.08,57.896
2028,202,30.038,55.961,62.958
2029,159,26.57,55.062,60.653
2030,139,22.162,53.66,68.832
2031,112,18.516,51.797,59.094
2032,131,21.57,47.875,56.601
2033,143,21.997,54.422,63.193
2034,133,22.28,55.244,70.41
2035,160,23.953,51.984,64.016
2036,132,20.401,47.479,59.796
2037,135,20.755,47.801,56.02
2038,152,24.083,49.913,55.433
2039,113,21.413,51.603,60.843
2040,126,20.649,51.926,58.285
2041,196,30.432,55.697,66.443
2042,187,27.866,50.378,62.304
2043,139,24.417,52.084,61.915
2044,154,24.204,54.75,72.19
2045,150,21.907,52.976,61.286
