year,era5_historical,cmip6_raw,cmip6_biascorrected,baseline_ols_full_history,baseline_naive_full_mean
1990,409.22856294585,,,,
1991,625.84841266758,,,,
1992,443.85981600765,,,,
1993,565.16539965627,,,,
1994,726.25207864425,,,,
1995,675.51040715667,,,,
1996,572.06976436104,,,,
1997,632.94374942289,,,,
1998,612.95127809682,,,,
1999,646.58868229818,,,,
2000,384.38951814702,,,,
2001,477.92923462554,,,,
2002,743.20256740983,,,,
2003,649.37245844085,,,,
2004,523.95200805798,,,,
2005,498.63410010288,,,,
2006,687.37792805298,,,,
2007,470.00455951392,,,,
2008,419.90232454113,,,,
2009,674.05664950242,,,,
2010,630.68354080425,,,,
2011,607.95414418587,,,,
2012,733.30915128264,,,,
2013,439.4195082042,,,,
2014,670.12381518198,,,,
2015,703.98259190805,,,,
2016,558.49242171924,,,,
2017,758.61668732235,,,,
2018,879.2417034343799,,,,
2019,664.16788125147,,,,
2020,562.09516648905,,,,
2021,589.6639823913124,,,,
2022,835.916519164993,,,,
2023,828.4041881560851,,,,
2024,714.4496440887062,,,,
2025,685.269355773876,,,,
2026,,498.5039365147565,509.5452471182252,715.3293004200077,619.473050028061
2027,,536.101456353042,528.0009895382234,720.5107193601125,619.473050028061
2028,,796.7878975484258,909.5679821662036,725.6921383002191,619.473050028061
2029,,452.0608854176837,477.72247598061824,730.8735572403239,619.473050028061
2030,,521.9653297888478,467.0960974625326,736.0549761804286,619.473050028061
2031,,436.7333875181311,387.3221805656299,741.2363951205334,619.473050028061
2032,,391.45753093066776,391.4631622104784,746.41781406064,619.473050028061
2033,,351.64534956755136,333.45251865240846,751.5992330007448,619.473050028061
2034,,341.1803614370521,303.845408231304,756.7806519408496,619.473050028061
2035,,441.39361171200756,410.3792137750175,761.9620708809543,619.473050028061
2036,,387.3524658140441,382.3233831720768,767.1434898210609,619.473050028061
2037,,514.137794329063,490.00620390401906,772.3249087611657,619.473050028061
2038,,394.9338069894685,387.2619268330341,777.5063277012705,619.473050028061
2039,,365.84237814479184,345.0141188243724,782.6877466413771,619.473050028061
2040,,531.1704372705243,569.5445704818558,787.8691655814819,619.473050028061
2041,,321.129035778284,303.02162135579806,793.0505845215866,619.473050028061
2042,,513.718752758928,528.3345414788902,798.2320034616914,619.473050028061
2043,,443.2707828369118,464.76357029080447,803.413422401798,619.473050028061
2044,,264.71758735903114,220.8844827568104,808.5948413419028,619.473050028061
2045,,722.384231993949,734.5066104807838,813.7762602820076,619.473050028061
