year,min_spi3_corrected,min_spi3_raw,delta
2026,-1.8683770783202087,-1.9004890385326036,0.03211196021239493
2027,-2.201605275763995,-1.5467566688377126,-0.6548486069262824
2028,-0.8884710475406924,-0.9702402447505779,0.08176919720988551
2029,-3.1088235699282105,-1.7361842884208332,-1.3726392815073774
2030,-2.4446618831805185,-2.0260643392172053,-0.41859754396331317
2031,-2.2601225529994347,-1.9123815182043715,-0.34774103479506313
2032,-1.5312264344664155,-1.7115548548984438,0.18032842043202835
2033,-2.086785984178258,-1.5721141945712205,-0.5146717896070374
2034,-2.997324039776457,-1.9136319433340108,-1.0836920964424464
2035,-2.53861253966541,-2.046515785113217,-0.4920967545521928
2036,-2.2823466073546417,-2.561572508611843,0.27922590125720115
2037,-3.6259607594370573,-2.985604696221933,-0.6403560632151244
2038,-2.445740555830706,-2.020114840512316,-0.42562571531839
2039,-2.614226248804677,-2.6010169183129803,-0.01320933049169648
2040,-1.2492178243007594,-1.1842019817048328,-0.06501584259592663
2041,-3.938480695600147,-3.601672181251448,-0.3368085143486992
2042,-2.6104161659801033,-2.490129773436651,-0.12028639254345208
2043,-2.0802065918457835,-2.378088782380189,0.29788219053440557
2044,-4.402067715923965,-3.861712944574227,-0.5403547713497381
2045,-1.7594767753489107,-1.6672872144849722,-0.09218956086393848
