year,era5_historical,cmip6_raw,cmip6_biascorrected
1990,44.885873244,,
1991,62.6406671865,,
1992,57.71327025315,,
1993,45.3844071,,
1994,65.09399388,,
1995,42.03343389,,
1996,17.046690105,,
1997,32.60278702995,,
1998,70.4548353,,
1999,48.39491859,,
2000,42.5119392225,,
2001,27.62603754,,
2002,56.593179525,,
2003,37.10746755,,
2004,26.01099003,,
2005,37.786961139,,
2006,56.021690115,,
2007,33.28228008075,,
2008,23.27299122,,
2009,56.63108865,,
2010,37.513017495,,
2011,35.14766692845,,
2012,43.118477085,,
2013,19.979953656,,
2014,39.818287049999995,,
2015,49.617290721,,
2016,45.089721525,,
2017,110.18657838,,
2018,62.026262024999994,,
2019,75.54388120499999,,
2020,31.97693832,,
2021,54.219245910643195,,
2022,90.13795852661076,,
2023,88.2604122161853,,
2024,82.1735858917221,,
2025,54.25071716308485,,
2026,,33.941757833333334,82.65036207634925
2027,,20.25631466666667,30.546580303858946
2028,,39.949454333333335,75.4994228495278
2029,,28.958144200000003,47.82085887490209
2030,,16.101276600000002,20.09105108529499
2031,,17.741886833333336,20.96529648855109
2032,,34.9501369,55.024959819407755
2033,,21.410310499999998,25.190394096814543
2034,,15.889332416666667,16.725491883877805
2035,,20.628769000000002,25.138950553696542
2036,,23.148021666666665,29.35376393696448
2037,,22.058722666666668,31.17897337953811
2038,,23.749855166666666,37.23442889990013
2039,,14.614902333333333,21.94250089754976
2040,,28.0796505,35.075002208520424
2041,,21.922284166666667,31.25869360401435
2042,,27.168422333333336,44.218569638105635
2043,,26.51057366666667,43.57618408618426
2044,,19.74948566666667,23.49041730647527
2045,,23.613238166666665,51.08934135507656
