year,era5_historical,cmip6_raw,cmip6_biascorrected,baseline_naive_full_mean,baseline_ols_last20yr
1990,108.0,,,,
1991,100.0,,,,
1992,112.0,,,,
1993,100.0,,,,
1994,116.0,,,,
1995,170.0,,,,
1996,93.0,,,,
1997,102.0,,,,
1998,103.0,,,,
1999,139.0,,,,
2000,133.0,,,,
2001,116.0,,,,
2002,114.0,,,,
2003,123.0,,,,
2004,105.0,,,,
2005,174.0,,,,
2006,115.0,,,,
2007,97.0,,,,
2008,98.0,,,,
2009,162.0,,,,
2010,110.0,,,,
2011,116.0,,,,
2012,167.0,,,,
2013,117.0,,,,
2014,126.0,,,,
2015,142.0,,,,
2016,124.0,,,,
2017,146.0,,,,
2018,97.0,,,,
2019,145.0,,,,
2020,133.0,,,,
2021,88.0,,,,
2022,136.0,,,,
2023,142.0,,,,
2024,115.0,,,,
2025,114.0,,,,
2026,,154.0,129.0,122.16666666666667,126.93157894736845
2027,,200.0,167.0,122.16666666666667,127.16315789473686
2028,,223.0,200.0,122.16666666666667,127.39473684210526
2029,,194.0,159.0,122.16666666666667,127.62631578947372
2030,,169.0,139.0,122.16666666666667,127.85789473684213
2031,,123.0,112.0,122.16666666666667,128.08947368421053
2032,,165.0,131.0,122.16666666666667,128.32105263157894
2033,,167.0,143.0,122.16666666666667,128.5526315789474
2034,,152.0,133.0,122.16666666666667,128.7842105263158
2035,,173.0,160.0,122.16666666666667,129.0157894736842
2036,,151.0,132.0,122.16666666666667,129.24736842105267
2037,,167.0,135.0,122.16666666666667,129.47894736842107
2038,,183.0,152.0,122.16666666666667,129.71052631578948
2039,,155.0,113.0,122.16666666666667,129.94210526315788
2040,,160.0,126.0,122.16666666666667,130.17368421052635
2041,,232.0,196.0,122.16666666666667,130.40526315789475
2042,,221.0,187.0,122.16666666666667,130.63684210526316
2043,,186.0,139.0,122.16666666666667,130.86842105263162
2044,,179.0,154.0,122.16666666666667,131.10000000000002
2045,,178.0,150.0,122.16666666666667,131.33157894736843
