year,era5_historical,cmip6_raw,cmip6_biascorrected,baseline_ols_best,baseline_naive_full_mean
1990,339.1730685,,,,
1991,444.955395,,,,
1992,309.797676,,,,
1993,426.4541265,,,,
1994,268.294839,,,,
1995,435.3635565,,,,
1996,938.854959,,,,
1997,747.8143590000001,,,,
1998,348.2108385,,,,
1999,427.808304,,,,
2000,452.831982,,,,
2001,694.6612665,,,,
2002,562.555557,,,,
2003,611.724,,,,
2004,467.3198445,,,,
2005,224.5869,,,,
2006,617.0102715,,,,
2007,428.7237405,,,,
2008,516.3939315,,,,
2009,573.438126,,,,
2010,977.2539405,,,,
2011,539.939496,,,,
2012,437.7842535,,,,
2013,474.2743095,,,,
2014,551.7340935,,,,
2015,315.8394855,,,,
2016,469.236924,,,,
2017,342.06512100000003,,,,
2018,601.5034305,,,,
2019,236.9007855,,,,
2020,419.5024305,,,,
2021,427.192211151096,,,,
2022,369.31300163266206,,,,
2023,346.85683250425285,,,,
2024,498.5740184783655,,,,
2025,680.0644397735153,,,,
2026,,241.1776385587949,420.5772458920375,450.47871167761184,486.7779865288859
2027,,231.34610894773743,397.4800381054589,450.86537702864746,486.7779865288859
2028,,70.97015434274545,96.36010101718054,451.2520423796832,486.7779865288859
2029,,261.04078269522626,489.1499502162439,451.6387077307189,486.7779865288859
2030,,203.2256409102549,340.389901934006,452.02537308175465,486.7779865288859
2031,,471.297550826848,965.1289598704809,452.4120384327904,486.7779865288859
2032,,221.46886764784023,387.1161450596773,452.7987037838261,486.7779865288859
2033,,287.7297889503358,654.4136569941585,453.18536913486184,486.7779865288859
2034,,284.2082759239032,487.4129759193113,453.5720344858976,486.7779865288859
2035,,318.6701781267043,660.8245562750109,453.9586998369332,486.7779865288859
2036,,202.72349379234944,353.08143565508465,454.3453651879689,486.7779865288859
2037,,384.96503766641246,686.7243137381585,454.73203053900465,486.7779865288859
2038,,201.53695891718337,372.2481790429366,455.1186958900404,486.7779865288859
2039,,236.00898193379112,356.436535621909,455.5053612410761,486.7779865288859
2040,,286.6505303559649,471.0606779667617,455.89202659211185,486.7779865288859
2041,,129.11364566530565,222.56397798064114,456.2786919431476,486.7779865288859
2042,,130.04858676748054,218.70229437230873,456.6653572941833,486.7779865288859
2043,,181.6245539341221,315.4787930940401,457.05202264521904,486.7779865288859
2044,,190.12711722760386,327.9036671547912,457.43868799625466,486.7779865288859
2045,,428.96615501980415,851.1919408466924,457.8253533472904,486.7779865288859
