year,era5_historical,cmip6_raw,cmip6_biascorrected,baseline_mean_last10yr,baseline_naive_full_mean
1990,18.656719337328788,,,,
1991,17.901571498287694,,,,
1992,17.919006021174887,,,,
1993,17.30598214554797,,,,
1994,18.56548507191783,,,,
1995,19.759275366438377,,,,
1996,18.61564199624319,,,,
1997,19.42167307191783,,,,
1998,18.939810789383586,,,,
1999,18.74864959075345,,,,
2000,19.15069573258199,,,,
2001,19.19275937842468,,,,
2002,18.65281910102742,,,,
2003,19.059816123287693,,,,
2004,18.712777139685816,,,,
2005,19.090898147260297,,,,
2006,19.094586648972623,,,,
2007,18.392113080479476,,,,
2008,18.506491048497292,,,,
2009,19.414273119863036,,,,
2010,18.97024897260276,,,,
2011,19.28930857534249,,,,
2012,18.75948511953554,,,,
2013,18.57655457363016,,,,
2014,19.00004057363016,,,,
2015,19.48540955650687,,,,
2016,19.327542677595652,,,,
2017,19.64700201712331,,,,
2018,18.22613207191783,,,,
2019,19.01395116952057,,,,
2020,19.22915944501369,,,,
2021,18.766859122498417,,,,
2022,19.547380881113572,,,,
2023,19.542011877608648,,,,
2024,19.026471251607617,,,,
2025,19.185268287136154,,,,
2026,,20.69793846575345,19.788070560791727,19.151177880113547,18.908163071707147
2027,,20.00231463013701,19.187595574174928,19.151177880113547,18.908163071707147
2028,,21.852625369863038,20.740773208830316,19.151177880113547,18.908163071707147
2029,,20.9017168082192,19.815023077939404,19.151177880113547,18.908163071707147
2030,,19.779925397260296,18.833815600577434,19.151177880113547,18.908163071707147
2031,,20.125324979452078,19.344637613046924,19.151177880113547,18.908163071707147
2032,,21.013204664383583,20.152524533376386,19.151177880113547,18.908163071707147
2033,,21.32188996575345,20.292575157604876,19.151177880113547,18.908163071707147
2034,,20.25516083561646,19.423072301122613,19.151177880113547,18.908163071707147
2035,,20.492397876712353,19.528950894899648,19.151177880113547,18.908163071707147
2036,,20.07773204794523,19.2034810295938,19.151177880113547,18.908163071707147
2037,,19.95015215753427,19.043349682503273,19.151177880113547,18.908163071707147
2038,,21.305400205479476,20.189497093275946,19.151177880113547,18.908163071707147
2039,,21.177864842465777,20.190078117316915,19.151177880113547,18.908163071707147
2040,,20.816978404109612,20.096453076787014,19.151177880113547,18.908163071707147
2041,,22.21354514383564,21.19624596232668,19.151177880113547,18.908163071707147
2042,,20.758601472602763,19.662724639420002,19.151177880113547,18.908163071707147
2043,,21.05971426712331,20.071875711113805,19.151177880113547,18.908163071707147
2044,,21.741179136986325,20.68264173953138,19.151177880113547,18.908163071707147
2045,,20.817977369863037,19.8385174726971,19.151177880113547,18.908163071707147
