year,era5_historical,cmip6_raw,cmip6_biascorrected,baseline_ols_last20yr,baseline_naive_full_mean
1990,22.70781808904112,,,,
1991,22.02541951369865,,,,
1992,22.18869585382516,,,,
1993,21.358184527397285,,,,
1994,22.912643828767145,,,,
1995,24.037575335616463,,,,
1996,22.550975846994557,,,,
1997,23.504471280821942,,,,
1998,23.3083448082192,,,,
1999,23.074184616438377,,,,
2000,23.62685063524593,,,,
2001,23.248902965753448,,,,
2002,23.009614773972626,,,,
2003,23.41847789041098,,,,
2004,23.18219479508199,,,,
2005,24.001599500000022,,,,
2006,23.586846383561664,,,,
2007,22.97730818493153,,,,
2008,23.07392710382516,,,,
2009,24.189400438356188,,,,
2010,23.20922321232879,,,,
2011,23.95464242465756,,,,
2012,23.614498374316963,,,,
2013,23.13431473972605,,,,
2014,23.54711139041098,,,,
2015,24.378112801369884,,,,
2016,23.939121400273248,,,,
2017,24.625719493150708,,,,
2018,22.564306191780844,,,,
2019,23.75255924657537,,,,
2020,23.696586256830624,,,,
2021,23.24789453793881,,,,
2022,24.153196068332644,,,,
2023,24.259447907748314,,,,
2024,23.449981839539596,,,,
2025,23.68080151701629,,,,
2026,,25.267205136986323,24.371083337199554,23.858188267136104,23.366415382609894
2027,,24.382082273972625,23.44403461718379,23.87784905680302,23.366415382609894
2028,,26.514645712328786,25.491250229694604,23.897509846469926,23.366415382609894
2029,,25.254937500000022,24.281342263145714,23.917170636136834,23.366415382609894
2030,,24.129467595890436,23.2051285462919,23.936831425803742,23.366415382609894
2031,,24.4023314452055,23.523766663979508,23.95649221547065,23.366415382609894
2032,,25.599811239726048,24.643594316810926,23.976153005137565,23.366415382609894
2033,,26.114626527397284,25.10446179275618,23.995813794804473,23.366415382609894
2034,,24.87616747945208,24.03602886907521,24.01547458447138,23.366415382609894
2035,,25.192354150684956,24.224820342418905,24.03513537413829,23.366415382609894
2036,,24.97075035616441,24.002761772777028,24.054796163805204,23.366415382609894
2037,,24.58262202739728,23.529656263487638,24.07445695347211,23.366415382609894
2038,,25.82519765753427,24.77519938339487,24.09411774313902,23.366415382609894
2039,,25.756250191780847,24.785555037172664,24.113778532805927,23.366415382609894
2040,,25.194315328767143,24.34202362621111,24.133439322472835,23.366415382609894
2041,,26.853945020547968,25.89913477947256,24.15310011213975,23.366415382609894
2042,,25.325282979452076,24.26313072875743,24.172760901806658,23.366415382609894
2043,,25.69459529452057,24.74930140071027,24.192421691473566,23.366415382609894
2044,,26.21000942465756,25.19192845980123,24.212082481140474,23.366415382609894
2045,,24.985125041095916,24.01658400298474,24.23174327080738,23.366415382609894
