city,metric,period,baseline,projected,change,change_pct,interannual_sd,distinguishable
Seville,days_fwi_gt15,2026-2035,184.0,212.9,28.9,15.7,38.8,False
Seville,days_fwi_gt15,2036-2045,184.0,213.5,29.5,16.0,31.3,False
Seville,days_fwi_gt15,2026-2045,184.0,213.2,29.2,15.9,34.3,False
Seville,days_fwi_gt30,2026-2035,126.2,147.3,21.1,16.8,24.9,False
Seville,days_fwi_gt30,2036-2045,126.2,148.4,22.2,17.6,26.0,False
Seville,days_fwi_gt30,2026-2045,126.2,147.8,21.7,17.2,24.8,False
Seville,days_fwi_gt45,2026-2035,42.1,63.3,21.2,50.4,17.3,True
Seville,days_fwi_gt45,2036-2045,42.1,59.2,17.1,40.6,18.9,False
Seville,days_fwi_gt45,2026-2045,42.1,61.2,19.1,45.5,17.7,True
Seville,fwi_jjas_mean,2026-2035,38.8,42.6,3.8,9.8,3.8,True
Seville,fwi_jjas_mean,2036-2045,38.8,41.7,2.9,7.4,2.7,True
Seville,fwi_jjas_mean,2026-2045,38.8,42.2,3.3,8.6,3.2,True
Larissa,days_fwi_gt15,2026-2035,141.3,165.8,24.5,17.4,24.5,True
Larissa,days_fwi_gt15,2036-2045,141.3,181.8,40.5,28.7,26.7,True
Larissa,days_fwi_gt15,2026-2045,141.3,173.8,32.5,23.0,26.2,True
Larissa,days_fwi_gt30,2026-2035,73.7,105.7,32.0,43.4,18.2,True
Larissa,days_fwi_gt30,2036-2045,73.7,113.1,39.4,53.4,26.1,True
Larissa,days_fwi_gt30,2026-2045,73.7,109.4,35.7,48.4,22.3,True
Larissa,days_fwi_gt45,2026-2035,8.2,16.4,8.2,100.8,12.2,False
Larissa,days_fwi_gt45,2036-2045,8.2,23.9,15.7,192.7,24.5,False
Larissa,days_fwi_gt45,2026-2045,8.2,20.1,12.0,146.7,19.2,False
Larissa,fwi_jjas_mean,2026-2035,28.6,34.7,6.2,21.6,3.0,True
Larissa,fwi_jjas_mean,2036-2045,28.6,35.5,6.9,24.3,5.5,True
Larissa,fwi_jjas_mean,2026-2045,28.6,35.1,6.6,22.9,4.4,True
