year,days_fwi_gt15,days_fwi_gt30,days_fwi_gt45,fwi_mean,fwi_jjas_mean,fwi_p95,fwi_max
2026,156,79,5,15.158,30.494,41.244,53.545
2027,141,91,24,15.897,31.642,45.382,57.012
2028,137,91,6,14.052,32.175,41.146,48.324
2029,142,100,32,16.628,38.335,48.643,57.524
2030,166,92,9,16.265,34.045,42.376,51.183
2031,157,102,8,16.418,32.344,41.843,57.707
2032,188,129,11,19.694,36.539,44.274,53.816
2033,209,120,36,21.104,37.379,53.754,67.724
2034,195,128,28,20.973,38.902,46.231,75.472
2035,167,125,5,17.654,35.452,41.1,49.48
2036,170,118,29,19.294,34.68,49.37,59.509
2037,159,97,7,16.883,34.147,42.919,49.681
2038,174,104,23,18.416,36.171,45.769,57.653
2039,182,107,10,18.889,34.965,43.987,47.072
2040,170,93,6,16.259,27.185,39.318,48.454
2041,227,146,42,22.816,41.92,49.814,58.392
2042,153,94,25,16.662,33.193,46.894,60.363
2043,202,106,11,19.4,34.47,43.315,54.839
2044,223,172,84,26.584,47.193,54.815,65.382
2045,158,94,2,15.418,31.167,40.066,50.565
