year,days_fwi_gt30,fwi_mean,fwi_p95,fwi_max
2027,91,15.893,45.381,57.012
2028,91,14.071,41.146,48.324
2029,100,16.628,48.643,57.524
2030,92,16.265,42.376,51.183
2031,102,16.418,41.843,57.707
2032,129,19.708,44.28,53.804
2033,120,21.104,53.754,67.724
2034,128,20.973,46.231,75.472
2035,125,17.654,41.1,49.48
2036,118,19.303,49.395,59.508
2037,97,16.883,42.919,49.681
2038,104,18.416,45.769,57.653
2039,107,18.889,43.987,47.072
2040,93,16.24,39.311,48.44
2041,146,22.816,49.814,58.392
2042,94,16.662,46.894,60.363
2043,106,19.4,43.315,54.839
2044,172,26.607,54.833,65.381
2045,94,15.418,40.066,50.565
