year,days_fwi_gt15,days_fwi_gt30,days_fwi_gt45,fwi_mean,fwi_jjas_mean,fwi_p95,fwi_max
2026,248,154,114,29.682,55.23,66.142,74.187
2027,299,200,107,32.213,47.708,57.366,66.908
2028,295,223,153,36.3,54.85,64.828,73.207
2029,276,194,125,33.1,55.852,64.103,70.359
2030,229,169,95,28.92,52.783,64.396,80.13
2031,211,123,79,24.085,43.267,61.664,67.28
2032,227,165,88,27.898,47.032,60.034,66.916
2033,210,167,117,28.829,49.237,64.735,71.714
2034,216,152,106,27.779,54.352,64.602,77.985
2035,231,173,140,30.703,55.182,62.8,72.673
2036,209,151,107,26.831,50.765,58.525,73.318
2037,217,167,93,26.235,45.928,59.016,68.176
2038,246,183,119,31.048,49.232,60.037,66.736
2039,255,155,87,28.109,46.434,62.129,69.578
2040,202,160,99,26.522,51.031,63.901,71.623
2041,293,232,144,36.694,53.126,65.779,73.529
2042,277,221,131,34.041,51.618,59.837,65.894
2043,266,186,108,31.311,49.781,62.252,70.542
2044,233,179,133,31.142,56.549,65.014,80.976
2045,213,178,111,27.056,51.278,61.26,71.97
