year,days_mine,days_cems,run_mine,run_cems,spell_mine,spell_cems
1991,107,100,41,27,5,6
1992,112,112,77,50,4,5
1993,87,100,52,51,4,4
1994,118,116,57,48,3,4
1995,161,170,43,43,9,10
1996,105,93,33,57,6,3
1997,112,102,34,17,6,6
1998,109,103,58,39,3,4
1999,133,139,39,40,8,8
2000,132,133,119,106,2,2
2001,116,116,63,46,2,5
2002,114,114,69,69,4,4
2003,129,123,78,53,3,7
2004,107,105,58,53,5,5
2005,175,174,95,86,5,6
2006,112,115,56,32,6,7
2007,92,97,51,48,4,4
2008,100,98,53,51,4,5
2009,160,162,111,110,6,5
2010,115,110,44,44,7,5
2011,120,116,70,50,5,5
2012,186,167,136,126,5,2
2013,126,117,78,68,5,6
2014,130,126,73,36,4,5
2015,146,142,81,78,4,4
2016,133,124,76,67,4,4
2017,155,146,49,49,6,6
2018,106,97,56,31,4,6
2019,157,145,125,68,3,6
2020,130,133,103,45,3,6
2021,103,88,52,27,6,6
2022,140,136,98,47,4,6
2023,139,142,72,72,4,5
2024,121,115,53,35,7,8
2025,118,114,41,25,6,6
