,start,length,peak,mean_tmax,year
0,1991-07-12,3,39.37649000000003,38.99369416666669,1991
1,1991-09-16,4,33.94124750000002,33.67765875000002,1991
2,1992-03-21,3,25.17605250000001,24.78359416666669,1992
3,1992-08-04,3,39.697347500000035,39.03579000000003,1992
4,1992-09-14,3,35.222897500000016,34.49275250000002,1992
5,1994-11-29,3,19.906365000000022,19.273400000000024,1994
6,1995-04-05,6,30.23082500000001,28.23516750000002,1995
7,1995-05-01,4,30.47872500000001,29.810458125000025,1995
8,1995-07-16,9,42.93868750000003,39.846898055555585,1995
9,1995-08-12,3,39.45547000000002,38.739200833333356,1995
10,1995-10-30,3,28.014852500000032,26.566348333333355,1995
11,1995-11-04,3,25.053922500000013,24.713130833333352,1995
12,1995-11-17,5,22.732842500000018,22.18171450000002,1995
13,1995-12-22,7,19.198905000000025,18.579348928571456,1995
14,1995-12-30,3,18.810325000000034,18.493735833333364,1995
15,1996-01-04,5,18.895045000000025,17.93146000000002,1996
16,1996-05-27,3,35.00551500000003,34.39923416666669,1996
17,1997-01-11,3,17.83181500000002,16.930976666666695,1997
18,1997-02-27,9,24.53127250000003,22.889629722222242,1997
19,1997-03-17,5,26.27773500000002,25.127582000000025,1997
20,1997-04-03,3,28.51006500000004,27.721531666666692,1997
21,1997-04-28,4,32.173825000000036,31.01081250000003,1997
22,1998-03-03,6,24.917205000000024,22.829068750000015,1998
23,1998-08-22,3,38.36919500000003,37.58902250000002,1998
24,1998-11-10,3,23.29580000000003,23.192495833333354,1998
25,1998-12-12,4,20.29244500000003,19.166323125000027,1998
26,1999-02-21,3,22.74373750000001,21.320306666666692,1999
27,1999-04-03,10,29.65569000000002,28.121200500000025,1999
28,1999-05-22,4,34.77986750000001,33.46404437500002,1999
29,1999-11-30,3,19.421777500000033,19.049585000000025,1999
30,2000-02-02,3,18.775782500000034,18.467960000000023,2000
31,2000-02-13,3,21.98299750000001,20.790288333333347,2000
32,2000-03-02,9,25.38235000000003,23.147447777777806,2000
33,2000-05-30,3,34.71871500000002,34.346541666666695,2000
34,2000-07-29,4,41.415120000000016,40.252380000000024,2000
35,2000-08-14,3,40.10073250000002,39.54443000000002,2000
36,2000-09-06,5,36.80102000000002,35.41367300000002,2000
37,2000-11-25,4,20.33507000000003,19.922246875000027,2000
38,2001-01-04,3,17.303247500000026,16.91070750000003,2001
39,2001-05-26,9,35.138940000000034,34.29729861111114,2001
40,2001-10-28,5,28.865685000000028,27.26042000000002,2001
41,2002-03-21,4,28.763910000000024,26.867248125000025,2002
42,2002-04-24,3,29.851830000000035,29.70772750000003,2002
43,2002-12-24,3,19.04171500000001,18.425736666666683,2002
44,2003-05-20,4,33.52642500000002,33.29340625000002,2003
45,2003-06-10,3,37.110682500000024,35.87166750000003,2003
46,2003-07-29,16,42.055565000000016,39.350323125000024,2003
47,2003-09-25,3,31.529475000000033,31.459548333333363,2003
48,2004-02-02,4,18.355617500000022,18.153422500000026,2004
49,2004-06-26,6,41.320762500000015,39.561588333333354,2004
50,2004-07-23,4,41.58980500000001,40.44459375000002,2004
51,2004-08-24,3,39.20724000000003,38.14394500000002,2004
52,2004-09-21,3,33.74923250000002,32.82544583333335,2004
53,2004-10-01,5,31.099635000000006,30.887750500000017,2004
54,2005-01-20,3,20.382837500000022,18.531140833333364,2005
55,2005-04-26,4,30.105890000000045,29.251626250000033,2005
