variable,OLS slope/decade,OLS p-value,Theil-Sen slope/decade,Theil-Sen 95% low,Theil-Sen 95% high,Kendall tau,tau p-value,significant (p<0.05)
t2m_mean,0.22384916695093596,0.0061530425659199065,0.2143430782144703,0.047185069937924595,0.3558350295350574,0.3015873015873016,0.009654342066512292,True
d2m_mean,0.08441839775943655,0.48844094368035285,0.11007324709762112,-0.15989510029354242,0.35195173070467717,0.09206349206349207,0.42952084222826226,False
rh_mean,-0.29153058692821926,0.5048570209405379,-0.3681423851713562,-1.197933913062891,0.6051055637577019,-0.07936507936507937,0.49584320253146685,False
heat_index_mean,0.2316434692964016,0.006263812008870563,0.231607459519403,0.07723745939276938,0.34660970979379,0.32063492063492066,0.005933739984725708,True
dpd_mean,0.13943076919149966,0.2963888808453111,0.16073809052086122,-0.12862347602739632,0.4397281037965547,0.13650793650793652,0.2414392796251561,False
wind_mean,-0.0005027382407739375,0.9753034878377831,0.0004988515698844442,-0.038562162179865106,0.038246508790125776,0.006349206349206349,0.9565498931849237,False
t2m_p95,0.3315204093581555,0.0342819499812973,0.39979132960463876,0.04725225000001387,0.6875324999999874,0.2571428571428572,0.02734307639333583,True
t2m_p05,-0.03690296891967337,0.7920925675532213,-0.029194991949281802,-0.35513011363637376,0.2891279499999964,-0.041269841269841276,0.7232315327840453,False
tmax_mean,0.38107943625585483,0.00018920770833109107,0.36507876044270926,0.17197044800771316,0.5669753224559558,0.4,0.0005981203689041793,True
tmin_mean,0.03897885140068022,0.6383656641787289,0.04176596224685646,-0.11931181250611819,0.21296255342465786,0.041269841269841276,0.7232315327840453,False
precip_scaled,-4.845261909372297,0.8627419551947194,1.6093595535714453,-54.79872705882351,54.49576126532406,0.015873015873015872,0.8916561068954382,False
