year,tmax_mean,min_spi3,longest_high_run
1990,22.70781808904112,-1.4550710314463753,92
1991,22.02541951369865,-1.4771163029968863,88
1992,22.18869585382516,-1.4344425792722324,86
1993,21.358184527397285,-0.9850959050096512,73
1994,22.912643828767145,-1.969203149967317,119
1995,24.037575335616463,-2.7525753604316123,58
1996,22.550975846994557,-0.3444265280225384,76
1997,23.504471280821942,-1.6941489180573912,32
1998,23.3083448082192,-2.435000146998291,79
1999,23.074184616438377,-1.296101730410605,108
2000,23.62685063524593,-1.896159949778448,111
2001,23.248902965753448,-0.4471235747326224,65
2002,23.009614773972626,-1.3297481257906285,82
2003,23.41847789041098,-1.590255339684779,96
2004,23.18219479508199,-0.9317627281618716,61
2005,24.001599500000022,-2.1122908196771872,96
2006,23.586846383561664,-0.1927573559361182,58
2007,22.97730818493153,-1.060754797051818,68
2008,23.07392710382516,-0.6766276642474859,73
2009,24.189400438356188,-1.6839120862277004,112
2010,23.20922321232879,0.0064663890624007,44
2011,23.95464242465756,-0.3042659058450647,85
2012,23.614498374316963,-2.2975715386395335,138
2013,23.13431473972605,-1.382128997689156,99
2014,23.54711139041098,-1.0460219166255915,82
2015,24.378112801369884,-1.485519698150474,129
2016,23.939121400273248,-1.5763440229490466,106
2017,24.625719493150708,-1.2455320304600224,52
2018,22.564306191780844,-0.6051326913555729,91
2019,23.75255924657537,-2.595628660250034,132
2020,23.696586256830624,-0.8054204365392369,105
2021,23.24789453793881,-0.988286070639335,86
2022,24.153196068332644,-1.948480414050131,112
2023,24.259447907748314,-3.650177606429426,80
2024,23.449981839539596,-2.653462480193802,81
2025,23.68080151701629,-1.6557815158705262,108
