year,era5_historical,cmip6_raw,cmip6_biascorrected,baseline_ols_last15yr,baseline_naive_full_mean
1990,11.222079041095911,,,,
1991,10.392865575342489,,,,
1992,10.089955314207671,,,,
1993,10.699710547945228,,,,
1994,11.819668150684956,,,,
1995,11.137363102739748,,,,
1996,11.348382834699477,,,,
1997,10.81054032191783,,,,
1998,11.69402673972605,,,,
1999,11.770454917808244,,,,
2000,10.69262961748636,,,,
2001,11.4248576712329,,,,
2002,11.248986897260297,,,,
2003,11.229844650684951,,,,
2004,11.04202823087434,,,,
2005,11.055592315068516,,,,
2006,10.93797575342468,,,,
2007,11.57435984931509,,,,
2008,11.838565314207672,,,,
2009,11.814915952054818,,,,
2010,12.242041246575369,,,,
2011,10.75928379452057,,,,
2012,11.657238524590186,,,,
2013,11.883132321917833,,,,
2014,12.382396904109612,,,,
2015,11.531964678082216,,,,
2016,11.883833080601114,,,,
2017,11.396764883561668,,,,
2018,12.129296219178103,,,,
2019,12.148950541095912,,,,
2020,11.66878134562844,,,,
2021,11.950196399427462,,,,
2022,11.754724539142789,,,,
2023,12.25222786681295,,,,
2024,12.832651840793654,,,,
2025,12.517330472763293,,,,
2026,,13.621025566210069,11.908671109154918,12.495738387324195,11.523211596016067
2027,,13.93451155707765,12.242321460412352,12.568132573971184,11.523211596016067
2028,,14.085810095890432,12.407900525317755,12.640526760618144,11.523211596016067
2029,,13.806901378995457,12.130207848274342,12.712920947265133,11.523211596016067
2030,,13.971860388127876,12.339855906484086,12.785315133912093,11.523211596016067
2031,,13.60183568949774,11.892957525117042,12.857709320559081,11.523211596016067
2032,,14.888873812785413,13.207682316477616,12.930103507206042,11.523211596016067
2033,,15.367431926940663,13.788410201349494,13.00249769385303,11.523211596016067
2034,,14.81424882191783,13.237755329882878,13.07489188049999,11.523211596016067
2035,,13.735920853881302,12.113601017183793,13.147286067146979,11.523211596016067
2036,,14.936038278538835,13.367723954485443,13.219680253793939,11.523211596016067
2037,,15.272392260273994,13.779606931965056,13.292074440440928,11.523211596016067
2038,,14.445222406392718,12.718587744100859,13.364468627087888,11.523211596016067
2039,,15.313877479452076,13.765535393301311,13.436862813734876,11.523211596016067
2040,,14.573396063926964,13.035586539832714,13.509257000381837,11.523211596016067
2041,,14.782480251141575,13.192571925330814,13.581651187028825,11.523211596016067
2042,,15.035308780821941,13.428827224790755,13.654045373675785,11.523211596016067
2043,,14.627978593607327,12.93615038371052,13.726439560322774,11.523211596016067
2044,,15.966824305936095,14.577459627298797,13.798833746969734,11.523211596016067
2045,,16.18241076712331,15.052944199807518,13.871227933616723,11.523211596016067
