year,era5_historical,cmip6_biascorrected,baseline_naive_full_mean
1990,108.0,,
1991,100.0,,
1992,112.0,,
1993,100.0,,
1994,116.0,,
1995,170.0,,
1996,93.0,,
1997,102.0,,
1998,103.0,,
1999,139.0,,
2000,133.0,,
2001,116.0,,
2002,114.0,,
2003,123.0,,
2004,105.0,,
2005,174.0,,
2006,115.0,,
2007,97.0,,
2008,98.0,,
2009,162.0,,
2010,110.0,,
2011,116.0,,
2012,167.0,,
2013,117.0,,
2014,126.0,,
2015,142.0,,
2016,124.0,,
2017,146.0,,
2018,97.0,,
2019,145.0,,
2020,133.0,,
2021,88.0,,
2022,136.0,,
2023,142.0,,
2024,115.0,,
2025,114.0,,
2026,,129.0,122.16666666666667
2027,,167.0,122.16666666666667
2028,,200.0,122.16666666666667
2029,,159.0,122.16666666666667
2030,,139.0,122.16666666666667
2031,,112.0,122.16666666666667
2032,,131.0,122.16666666666667
2033,,143.0,122.16666666666667
2034,,133.0,122.16666666666667
2035,,160.0,122.16666666666667
2036,,132.0,122.16666666666667
2037,,135.0,122.16666666666667
2038,,152.0,122.16666666666667
2039,,113.0,122.16666666666667
2040,,126.0,122.16666666666667
2041,,196.0,122.16666666666667
2042,,187.0,122.16666666666667
2043,,139.0,122.16666666666667
2044,,154.0,122.16666666666667
2045,,150.0,122.16666666666667
