year,era5_historical,cmip6_raw,cmip6_biascorrected,baseline_naive_full_mean
1990,-1.4550710314463753,,,
1991,-1.4771163029968863,,,
1992,-1.4344425792722324,,,
1993,-0.9850959050096512,,,
1994,-1.969203149967317,,,
1995,-2.7525753604316123,,,
1996,-0.3444265280225384,,,
1997,-1.6941489180573912,,,
1998,-2.435000146998291,,,
1999,-1.296101730410605,,,
2000,-1.896159949778448,,,
2001,-0.4471235747326224,,,
2002,-1.3297481257906285,,,
2003,-1.590255339684779,,,
2004,-0.9317627281618716,,,
2005,-2.1122908196771872,,,
2006,-0.1927573559361182,,,
2007,-1.060754797051818,,,
2008,-0.6766276642474859,,,
2009,-1.6839120862277004,,,
2010,0.0064663890624007,,,
2011,-0.3042659058450647,,,
2012,-2.2975715386395335,,,
2013,-1.382128997689156,,,
2014,-1.0460219166255915,,,
2015,-1.485519698150474,,,
2016,-1.5763440229490466,,,
2017,-1.2455320304600224,,,
2018,-0.6051326913555729,,,
2019,-2.595628660250034,,,
2020,-0.8054204365392369,,,
2021,-0.988286070639335,,,
2022,-1.948480414050131,,,
2023,-3.650177606429426,,,
2024,-2.653462480193802,,,
2025,-1.6557815158705262,,,
2026,,-2.4877245207181016,-2.1037240971941125,-1.4443850469590587
2027,,-3.125022072347977,-2.545524039464269,-1.4443850469590587
2028,,-3.850979441496738,-3.367745707689648,-1.4443850469590587
2029,,-3.12045900983784,-2.8163546067737952,-1.4443850469590587
2030,,-1.779501008873396,-1.1930263312622325,-1.4443850469590587
2031,,-1.1935465607375826,-1.0248702562434713,-1.4443850469590587
2032,,-1.9928226800898048,-1.744434691766929,-1.4443850469590587
2033,,-2.128496378435928,-2.3793183774339837,-1.4443850469590587
2034,,-3.187580857550257,-2.710295093968328,-1.4443850469590587
2035,,-2.345881171429431,-2.3866019085508947,-1.4443850469590587
2036,,-1.6401563255308518,-1.5876384829374832,-1.4443850469590587
2037,,-2.17292303084981,-0.9362061575156366,-1.4443850469590587
2038,,-3.1803310864180356,-3.1674997078579583,-1.4443850469590587
2039,,-2.0892958242359656,-1.6304511769029502,-1.4443850469590587
2040,,-2.447582643345126,-1.9924937189779832,-1.4443850469590587
2041,,-3.9189527498688785,-4.216164124825082,-1.4443850469590587
2042,,-3.327275200598219,-2.9673918097451795,-1.4443850469590587
2043,,-2.7885388195247467,-2.8373318865991015,-1.4443850469590587
2044,,-1.9534867145772592,-2.217078343850268,-1.4443850469590587
2045,,-2.1326733601728116,-1.9082962810858048,-1.4443850469590587
