year,tas_mean,rh_mean,heat_index_mean,wind_mean,tas_p95,tas_p05,tmax_mean,tmin_mean,precip_total,days tmax>=30 C,days tmax>=33 C,days tmax>=35 C,days tmax>=37 C,days tmax>=40 C,tropical nights tmin>=20 C,days heat index>=35 C,heatwaves,heatwave days,longest (days),wet days,mean intensity (mm/wet day),max 1-day (mm),P95 wet-day (mm),longest dry spell (days)
2026,20.69793846575345,51.2483204468422,19.77177565397556,2.5414813074726026,33.55241600000002,10.326944000000012,25.267205136986323,16.329307006849337,241.1776385587949,130,97,74,49,12,132,0,14,92,11,42.0,5.278827030714286,20.38294425,10.352728437499996,109.0
2027,20.00231463013701,48.71621506376897,19.119348030826025,2.619682527356164,31.541975000000033,10.044335500000022,24.382082273972625,15.751674486301392,231.34610894773743,110,72,39,17,0,123,0,12,58,11,32.0,6.247477995624999,24.5341245,16.069317975,128.0
2028,21.852625369863038,44.52956196630103,20.840296680331186,2.463245081417808,35.30354450000002,9.004392000000035,26.514645712328786,17.286085609589065,70.97015434274545,145,98,84,55,27,144,5,16,124,17,19.0,2.9042902676435527,5.533037425,5.229486572499999,117.0
2029,20.9017168082192,48.231925296591186,19.91227983147538,2.6541448717534246,33.64161050000002,8.097988500000023,25.254937500000022,16.633794636986323,261.04078269522626,130,102,79,42,11,142,1,15,93,11,37.0,6.382924774763512,44.57985225,21.35338334999994,106.0
2030,19.779925397260296,50.733813215279156,18.84541053993884,2.635631341089041,33.76108900000002,8.831488000000016,24.129467595890436,15.555982520547968,203.2256409102549,105,74,55,29,14,117,3,8,51,12,48.0,3.805458984763812,10.455863,8.926045412499999,60.0
2031,20.125324979452078,56.79633555822217,19.451867775870813,2.7199479706438354,32.29593650000002,10.439081000000007,24.4023314452055,16.079242150684955,471.297550826848,110,75,49,26,6,124,2,11,58,10,90.0,4.936521414961177,26.07707575,14.8401711,57.0
2032,21.013204664383583,54.142817519160715,20.360633032734913,2.5037481141164384,33.00555250000002,11.086107000000013,25.599811239726048,16.717127890410982,221.46886764784023,116,76,47,35,11,118,0,20,131,18,45.0,4.396167336055556,22.902406499999998,12.713656934999989,95.0
2033,21.32188996575345,53.194231390671575,20.609384416683454,2.501844272020548,34.255475000000025,9.396043500000033,26.114626527397284,16.8845723082192,287.7297889503358,141,107,84,55,16,144,6,19,119,14,46.0,5.5720460346641305,23.372402,19.04568134375,140.0
2034,20.25516083561646,52.892759738158986,19.362973237088717,2.504282769534247,33.87747750000003,8.649690000000016,24.87616747945208,15.840427554794543,284.2082759239032,112,88,71,52,11,122,0,11,82,15,55.0,4.740995458704545,31.65427325,11.146508232499997,118.0
2035,20.492397876712353,51.54897888498998,19.572206980144962,2.6466312334041096,33.428844500000025,8.465772500000025,25.192354150684956,16.036601541095912,318.6701781267043,140,117,91,46,7,129,1,18,94,15,50.0,5.9729517795285005,34.72128,23.092099212499985,77.0
2036,20.07773204794523,54.9715024693946,19.38631966392932,2.4963726590136988,32.795681000000016,9.30735150000003,24.97075035616441,15.599530863013722,202.72349379234944,123,69,38,26,9,111,6,14,74,10,41.0,4.461440750365854,16.8887935,15.2854935,70.0
2037,19.95015215753427,54.11617709884255,19.213354295924866,2.616213275431507,31.732185000000023,10.047487000000022,24.58262202739728,15.497288917808241,384.96503766641246,106,71,49,25,5,107,0,12,60,12,56.0,6.415389870022321,20.763598,16.5327426875,66.0
2038,21.305400205479476,51.58757432857093,20.57267368747843,2.6032229074657534,34.445201500000024,10.075885000000032,25.82519765753427,17.056907472602763,201.53695891718337,123,97,72,51,11,141,2,14,100,16,38.0,4.6507426499953946,29.602054,16.1740421125,80.0
2039,21.177864842465777,52.22401266742782,20.429526515009304,2.548516392780822,33.864569500000016,10.636834000000013,25.756250191780847,16.802333273972625,236.00898193379112,133,88,65,44,9,150,0,18,103,15,59.0,3.632248693329192,12.65160925,8.051803547499993,49.0
2040,20.816978404109612,55.23292060943442,20.116963531640923,2.5707345698219175,34.03643050000003,11.370437500000023,25.194315328767143,16.643612458904133,286.6505303559649,112,90,66,38,13,119,1,17,112,22,57.0,4.504709151362195,20.896238750000002,11.897475119999994,94.0
2041,22.21354514383564,46.94182619026722,21.36898349810799,2.664479022458904,35.17364050000002,9.71432450000002,26.853945020547968,17.80836737671235,129.11364566530565,134,102,84,62,22,146,10,19,160,41,19.0,5.561726800789474,20.7881755,15.534630024999988,89.0
2042,20.758601472602763,46.90487402283482,19.868079135612927,2.6302587726849316,34.384524500000026,8.938798500000015,25.325282979452076,16.370592191780844,130.04858676748054,119,82,75,45,4,122,3,13,83,10,28.0,3.9733049109375,11.95429525,8.60478393875,95.0
2043,21.05971426712331,49.98980591539197,20.21880379564351,2.583994797328767,33.28504250000002,9.414232000000009,25.69459529452057,16.682680602739747,181.6245539341221,132,101,71,42,6,142,0,16,91,15,41.0,3.856310710359756,13.123137875000001,10.39585335,54.0
2044,21.741179136986325,49.38349935018585,20.865974536593896,2.5368602966575344,35.00221550000002,10.201368500000024,26.21000942465756,17.38509995890413,190.12711722760386,144,110,76,56,23,156,6,18,123,18,44.0,3.793807502681818,16.97048325,8.5382232575,133.0
2045,20.817977369863037,54.383164532265525,20.102935410663775,2.6413541502328766,34.020678000000025,9.202363000000025,24.985125041095916,16.662152308219202,428.96615501980415,131,100,74,50,12,137,4,14,91,23,73.0,5.507260325456918,21.9514855,14.789769299999994,103.0
