year,min_spi3_corrected,min_spi3_raw,delta
2026,-2.1037240971941125,-2.4877245207181016,0.3840004235239891
2027,-2.545524039464269,-3.125022072347977,0.5794980328837078
2028,-3.367745707689648,-3.850979441496738,0.48323373380709
2029,-2.8163546067737952,-3.12045900983784,0.30410440306404496
2030,-1.1930263312622325,-1.779501008873396,0.5864746776111636
2031,-1.0248702562434713,-1.1935465607375826,0.1686763044941113
2032,-1.7444346917669287,-1.9928226800898048,0.24838798832287612
2033,-2.3793183774339837,-2.128496378435928,-0.2508219989980556
2034,-2.710295093968328,-3.187580857550257,0.477285763581929
2035,-2.3866019085508947,-2.3458811714294314,-0.04072073712146329
2036,-1.5876384829374832,-1.6401563255308518,0.05251784259336856
2037,-0.9362061575156366,-2.17292303084981,1.2367168733341736
2038,-3.1674997078579583,-3.1803310864180356,0.012831378560077322
2039,-1.6304511769029502,-2.0892958242359656,0.45884464733301544
2040,-1.9924937189779834,-2.447582643345126,0.45508892436714277
2041,-4.216164124825082,-3.9189527498688785,-0.2972113749562033
2042,-2.9673918097451795,-3.327275200598219,0.35988339085303966
2043,-2.8373318865991015,-2.7885388195247467,-0.04879306707435482
2044,-2.217078343850268,-1.9534867145772594,-0.2635916292730087
2045,-1.9082962810858048,-2.1326733601728116,0.22437707908700677
